,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：386yd,Hdcp：5,PAR：3,Reg.：170yd,Hdcp：15,PAR：4,Reg.：330yd,Hdcp：17
1,左ドッグレッグのミドルホール黄旗方向が狙い目,左ドッグレッグのミドルホール黄旗方向が狙い目,左ドッグレッグのミドルホール黄旗方向が狙い目,長いショートホール,長いショートホール,長いショートホール,短いミドル見えないバンカーに注意,短いミドル見えないバンカーに注意,短いミドル見えないバンカーに注意
2,難易度3位/18ホール中 平均スコア5.38 平均パット数1.95 パーオン率12.0% フェアウェイ率64.8% OB率19.5% バンカー率18.3%,難易度3位/18ホール中 平均スコア5.38 平均パット数1.95 パーオン率12.0% フェアウェイ率64.8% OB率19.5% バンカー率18.3%,難易度3位/18ホール中 平均スコア5.38 平均パット数1.95 パーオン率12.0% フェアウェイ率64.8% OB率19.5% バンカー率18.3%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率21.0% フェアウェイ率- OB率16.0% バンカー率61.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率21.0% フェアウェイ率- OB率16.0% バンカー率61.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.98 パーオン率21.0% フェアウェイ率- OB率16.0% バンカー率61.8%,難易度10位/18ホール中 平均スコア4.94 平均パット数1.99 パーオン率33.5% フェアウェイ率66.8% OB率25.0% バンカー率49.3%,難易度10位/18ホール中 平均スコア4.94 平均パット数1.99 パーオン率33.5% フェアウェイ率66.8% OB率25.0% バンカー率49.3%,難易度10位/18ホール中 平均スコア4.94 平均パット数1.99 パーオン率33.5% フェアウェイ率66.8% OB率25.0% バンカー率49.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：489yd,Hdcp：1,PAR：4,Reg.：358yd,Hdcp：13,PAR：3,Reg.：165yd,Hdcp：7
5,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,打ち下ろしのミドル第２打は池越え,打ち下ろしのミドル第２打は池越え,打ち下ろしのミドル第２打は池越え,ショートホール,ショートホール,ショートホール
6,難易度11位/18ホール中 平均スコア6.11 平均パット数2 パーオン率33.8% フェアウェイ率68.5% OB率36.0% バンカー率31.7%,難易度11位/18ホール中 平均スコア6.11 平均パット数2 パーオン率33.8% フェアウェイ率68.5% OB率36.0% バンカー率31.7%,難易度11位/18ホール中 平均スコア6.11 平均パット数2 パーオン率33.8% フェアウェイ率68.5% OB率36.0% バンカー率31.7%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.99 パーオン率29.7% フェアウェイ率56.3% OB率5.0% バンカー率56.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.99 パーオン率29.7% フェアウェイ率56.3% OB率5.0% バンカー率56.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.99 パーオン率29.7% フェアウェイ率56.3% OB率5.0% バンカー率56.3%,難易度15位/18ホール中 平均スコア4.11 平均パット数2.08 パーオン率19.5% フェアウェイ率- OB率- バンカー率31.3%,難易度15位/18ホール中 平均スコア4.11 平均パット数2.08 パーオン率19.5% フェアウェイ率- OB率- バンカー率31.3%,難易度15位/18ホール中 平均スコア4.11 平均パット数2.08 パーオン率19.5% フェアウェイ率- OB率- バンカー率31.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：416yd,Hdcp：3,PAR：4,Reg.：343yd,Hdcp：9,PAR：5,Reg.：534yd,Hdcp：11
9,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度6位/18ホール中 平均スコア5.4 平均パット数2.09 パーオン率18.3% フェアウェイ率76.8% OB率19.5% バンカー率10.5%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.09 パーオン率18.3% フェアウェイ率76.8% OB率19.5% バンカー率10.5%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.09 パーオン率18.3% フェアウェイ率76.8% OB率19.5% バンカー率10.5%,難易度5位/18ホール中 平均スコア5.42 平均パット数2.11 パーオン率19.8% フェアウェイ率59.3% OB率25.7% バンカー率48.0%,難易度5位/18ホール中 平均スコア5.42 平均パット数2.11 パーオン率19.8% フェアウェイ率59.3% OB率25.7% バンカー率48.0%,難易度5位/18ホール中 平均スコア5.42 平均パット数2.11 パーオン率19.8% フェアウェイ率59.3% OB率25.7% バンカー率48.0%,難易度18位/18ホール中 平均スコア5.98 平均パット数2.05 パーオン率35.3% フェアウェイ率61.5% OB率10.5% バンカー率46.8%,難易度18位/18ホール中 平均スコア5.98 平均パット数2.05 パーオン率35.3% フェアウェイ率61.5% OB率10.5% バンカー率46.8%,難易度18位/18ホール中 平均スコア5.98 平均パット数2.05 パーオン率35.3% フェアウェイ率61.5% OB率10.5% バンカー率46.8%
