,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：348yd,Hdcp：11,PAR：4,Reg.：358yd,Hdcp：15,PAR：5,Reg.：518yd,Hdcp：5
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
2,難易度9位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率18.0% フェアウェイ率50.0% OB率12.8% バンカー率25.3%,難易度9位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率18.0% フェアウェイ率50.0% OB率12.8% バンカー率25.3%,難易度9位/18ホール中 平均スコア5.3 平均パット数1.98 パーオン率18.0% フェアウェイ率50.0% OB率12.8% バンカー率25.3%,難易度15位/18ホール中 平均スコア4.97 平均パット数1.98 パーオン率32.5% フェアウェイ率55.5% OB率20.3% バンカー率10.8%,難易度15位/18ホール中 平均スコア4.97 平均パット数1.98 パーオン率32.5% フェアウェイ率55.5% OB率20.3% バンカー率10.8%,難易度15位/18ホール中 平均スコア4.97 平均パット数1.98 パーオン率32.5% フェアウェイ率55.5% OB率20.3% バンカー率10.8%,難易度1位/18ホール中 平均スコア6.44 平均パット数2.02 パーオン率23.0% フェアウェイ率50.5% OB率25.3% バンカー率39.8%,難易度1位/18ホール中 平均スコア6.44 平均パット数2.02 パーオン率23.0% フェアウェイ率50.5% OB率25.3% バンカー率39.8%,難易度1位/18ホール中 平均スコア6.44 平均パット数2.02 パーオン率23.0% フェアウェイ率50.5% OB率25.3% バンカー率39.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：400yd,Hdcp：1,PAR：3,Reg.：139yd,Hdcp：13,PAR：4,Reg.：383yd,Hdcp：9
5,長いミドルホール,長いミドルホール,長いミドルホール,ショートホール,ショートホール,ショートホール,両側に池があり第1打にプレッシャーをかける,両側に池があり第1打にプレッシャーをかける,両側に池があり第1打にプレッシャーをかける
6,難易度3位/18ホール中 平均スコア5.45 平均パット数2.01 パーオン率15.8% フェアウェイ率52.8% OB率22.3% バンカー率38.0%,難易度3位/18ホール中 平均スコア5.45 平均パット数2.01 パーオン率15.8% フェアウェイ率52.8% OB率22.3% バンカー率38.0%,難易度3位/18ホール中 平均スコア5.45 平均パット数2.01 パーオン率15.8% フェアウェイ率52.8% OB率22.3% バンカー率38.0%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.95 パーオン率36.0% フェアウェイ率- OB率10.8% バンカー率19.0%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.95 パーオン率36.0% フェアウェイ率- OB率10.8% バンカー率19.0%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.95 パーオン率36.0% フェアウェイ率- OB率10.8% バンカー率19.0%,難易度10位/18ホール中 平均スコア5.29 平均パット数1.97 パーオン率21.0% フェアウェイ率48.3% OB率13.0% バンカー率18.5%,難易度10位/18ホール中 平均スコア5.29 平均パット数1.97 パーオン率21.0% フェアウェイ率48.3% OB率13.0% バンカー率18.5%,難易度10位/18ホール中 平均スコア5.29 平均パット数1.97 パーオン率21.0% フェアウェイ率48.3% OB率13.0% バンカー率18.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：512yd,Hdcp：3,PAR：3,Reg.：152yd,Hdcp：17,PAR：4,Reg.：404yd,Hdcp：7
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,まっすぐに伸びたショートホール,まっすぐに伸びたショートホール,まっすぐに伸びたショートホール,左サイドには池、第１打は打ち下ろしのミドルホール,左サイドには池、第１打は打ち下ろしのミドルホール,左サイドには池、第１打は打ち下ろしのミドルホール
10,難易度12位/18ホール中 平均スコア6.18 平均パット数2.01 パーオン率27.8% フェアウェイ率47.8% OB率2.8% バンカー率31.0%,難易度12位/18ホール中 平均スコア6.18 平均パット数2.01 パーオン率27.8% フェアウェイ率47.8% OB率2.8% バンカー率31.0%,難易度12位/18ホール中 平均スコア6.18 平均パット数2.01 パーオン率27.8% フェアウェイ率47.8% OB率2.8% バンカー率31.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数2.01 パーオン率32.5% フェアウェイ率- OB率4.3% バンカー率42.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数2.01 パーオン率32.5% フェアウェイ率- OB率4.3% バンカー率42.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数2.01 パーオン率32.5% フェアウェイ率- OB率4.3% バンカー率42.0%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.01 パーオン率15.8% フェアウェイ率48.5% OB率4.5% バンカー率24.8%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.01 パーオン率15.8% フェアウェイ率48.5% OB率4.5% バンカー率24.8%,難易度6位/18ホール中 平均スコア5.38 平均パット数2.01 パーオン率15.8% フェアウェイ率48.5% OB率4.5% バンカー率24.8%
