,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：476yd,Hdcp：11,PAR：4,Reg.：359yd,Hdcp：9,PAR：4,Reg.：351yd,Hdcp：13
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度4位/18ホール中 平均スコア6.56 平均パット数2.12 パーオン率21.8% フェアウェイ率53.0% OB率9.0% バンカー率20.3%,難易度4位/18ホール中 平均スコア6.56 平均パット数2.12 パーオン率21.8% フェアウェイ率53.0% OB率9.0% バンカー率20.3%,難易度4位/18ホール中 平均スコア6.56 平均パット数2.12 パーオン率21.8% フェアウェイ率53.0% OB率9.0% バンカー率20.3%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.03 パーオン率28.8% フェアウェイ率41.0% OB率10.0% バンカー率27.5%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.03 パーオン率28.8% フェアウェイ率41.0% OB率10.0% バンカー率27.5%,難易度14位/18ホール中 平均スコア5.16 平均パット数2.03 パーオン率28.8% フェアウェイ率41.0% OB率10.0% バンカー率27.5%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.09 パーオン率21.3% フェアウェイ率49.8% OB率22.8% バンカー率22.5%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.09 パーオン率21.3% フェアウェイ率49.8% OB率22.8% バンカー率22.5%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.09 パーオン率21.3% フェアウェイ率49.8% OB率22.8% バンカー率22.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：171yd,Hdcp：15,PAR：4,Reg.：358yd,Hdcp：3,PAR：4,Reg.：322yd,Hdcp：17
5,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度16位/18ホール中 平均スコア4.1 平均パット数2.03 パーオン率27.8% フェアウェイ率- OB率30.8% バンカー率22.5%,難易度16位/18ホール中 平均スコア4.1 平均パット数2.03 パーオン率27.8% フェアウェイ率- OB率30.8% バンカー率22.5%,難易度16位/18ホール中 平均スコア4.1 平均パット数2.03 パーオン率27.8% フェアウェイ率- OB率30.8% バンカー率22.5%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率19.5% フェアウェイ率46.0% OB率38.5% バンカー率18.3%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率19.5% フェアウェイ率46.0% OB率38.5% バンカー率18.3%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.05 パーオン率19.5% フェアウェイ率46.0% OB率38.5% バンカー率18.3%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.98 パーオン率27.8% フェアウェイ率47.3% OB率40.3% バンカー率28.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.98 パーオン率27.8% フェアウェイ率47.3% OB率40.3% バンカー率28.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.98 パーオン率27.8% フェアウェイ率47.3% OB率40.3% バンカー率28.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：364yd,Hdcp：1,PAR：3,Reg.：185yd,Hdcp：7,PAR：5,Reg.：563yd,Hdcp：5
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度5位/18ホール中 平均スコア5.43 平均パット数2.01 パーオン率17.0% フェアウェイ率47.0% OB率41.5% バンカー率14.5%,難易度5位/18ホール中 平均スコア5.43 平均パット数2.01 パーオン率17.0% フェアウェイ率47.0% OB率41.5% バンカー率14.5%,難易度5位/18ホール中 平均スコア5.43 平均パット数2.01 パーオン率17.0% フェアウェイ率47.0% OB率41.5% バンカー率14.5%,難易度18位/18ホール中 平均スコア4.03 平均パット数2.02 パーオン率31.5% フェアウェイ率- OB率19.8% バンカー率33.8%,難易度18位/18ホール中 平均スコア4.03 平均パット数2.02 パーオン率31.5% フェアウェイ率- OB率19.8% バンカー率33.8%,難易度18位/18ホール中 平均スコア4.03 平均パット数2.02 パーオン率31.5% フェアウェイ率- OB率19.8% バンカー率33.8%,難易度3位/18ホール中 平均スコア6.58 平均パット数2.04 パーオン率17.8% フェアウェイ率46.3% OB率14.0% バンカー率29.3%,難易度3位/18ホール中 平均スコア6.58 平均パット数2.04 パーオン率17.8% フェアウェイ率46.3% OB率14.0% バンカー率29.3%,難易度3位/18ホール中 平均スコア6.58 平均パット数2.04 パーオン率17.8% フェアウェイ率46.3% OB率14.0% バンカー率29.3%
