,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：367yd,Hdcp：11,PAR：5,Reg.：541yd,Hdcp：1,PAR：3,Reg.：153yd,Hdcp：15
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,ショートホール,ショートホール,ショートホール
2,難易度13位/18ホール中 平均スコア5.2 平均パット数1.91 パーオン率19.8% フェアウェイ率62.3% OB率28.5% バンカー率13.5%,難易度13位/18ホール中 平均スコア5.2 平均パット数1.91 パーオン率19.8% フェアウェイ率62.3% OB率28.5% バンカー率13.5%,難易度13位/18ホール中 平均スコア5.2 平均パット数1.91 パーオン率19.8% フェアウェイ率62.3% OB率28.5% バンカー率13.5%,難易度1位/18ホール中 平均スコア6.81 平均パット数1.96 パーオン率8.3% フェアウェイ率48.0% OB率41.8% バンカー率26.5%,難易度1位/18ホール中 平均スコア6.81 平均パット数1.96 パーオン率8.3% フェアウェイ率48.0% OB率41.8% バンカー率26.5%,難易度1位/18ホール中 平均スコア6.81 平均パット数1.96 パーオン率8.3% フェアウェイ率48.0% OB率41.8% バンカー率26.5%,難易度17位/18ホール中 平均スコア3.96 平均パット数1.94 パーオン率26.8% フェアウェイ率- OB率15.5% バンカー率22.8%,難易度17位/18ホール中 平均スコア3.96 平均パット数1.94 パーオン率26.8% フェアウェイ率- OB率15.5% バンカー率22.8%,難易度17位/18ホール中 平均スコア3.96 平均パット数1.94 パーオン率26.8% フェアウェイ率- OB率15.5% バンカー率22.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：369yd,Hdcp：5,PAR：4,Reg.：388yd,Hdcp：9,PAR：5,Reg.：497yd,Hdcp：3
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字の長いミドルホール,Ｓ字の長いミドルホール,Ｓ字の長いミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度9位/18ホール中 平均スコア5.41 平均パット数1.88 パーオン率12.5% フェアウェイ率52.8% OB率34.5% バンカー率27.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.88 パーオン率12.5% フェアウェイ率52.8% OB率34.5% バンカー率27.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.88 パーオン率12.5% フェアウェイ率52.8% OB率34.5% バンカー率27.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数1.86 パーオン率13.8% フェアウェイ率52.0% OB率47.8% バンカー率10.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数1.86 パーオン率13.8% フェアウェイ率52.0% OB率47.8% バンカー率10.5%,難易度7位/18ホール中 平均スコア5.44 平均パット数1.86 パーオン率13.8% フェアウェイ率52.0% OB率47.8% バンカー率10.5%,難易度11位/18ホール中 平均スコア6.21 平均パット数2 パーオン率33.8% フェアウェイ率62.5% OB率50.8% バンカー率16.8%,難易度11位/18ホール中 平均スコア6.21 平均パット数2 パーオン率33.8% フェアウェイ率62.5% OB率50.8% バンカー率16.8%,難易度11位/18ホール中 平均スコア6.21 平均パット数2 パーオン率33.8% フェアウェイ率62.5% OB率50.8% バンカー率16.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：367yd,Hdcp：7,PAR：3,Reg.：149yd,Hdcp：17,PAR：4,Reg.：318yd,Hdcp：13
9,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,ショートホール,ショートホール,ショートホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール,やや右ドッグレッグのミドルホール
10,難易度5位/18ホール中 平均スコア5.54 平均パット数2 パーオン率13.0% フェアウェイ率62.8% OB率23.8% バンカー率13.8%,難易度5位/18ホール中 平均スコア5.54 平均パット数2 パーオン率13.0% フェアウェイ率62.8% OB率23.8% バンカー率13.8%,難易度5位/18ホール中 平均スコア5.54 平均パット数2 パーオン率13.0% フェアウェイ率62.8% OB率23.8% バンカー率13.8%,難易度18位/18ホール中 平均スコア3.93 平均パット数1.79 パーオン率20.5% フェアウェイ率- OB率13.5% バンカー率16.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数1.79 パーオン率20.5% フェアウェイ率- OB率13.5% バンカー率16.5%,難易度18位/18ホール中 平均スコア3.93 平均パット数1.79 パーオン率20.5% フェアウェイ率- OB率13.5% バンカー率16.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.02 パーオン率27.5% フェアウェイ率61.0% OB率17.8% バンカー率22.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.02 パーオン率27.5% フェアウェイ率61.0% OB率17.8% バンカー率22.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.02 パーオン率27.5% フェアウェイ率61.0% OB率17.8% バンカー率22.5%
