,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：482yd,Hdcp：11,PAR：4,Reg.：341yd,Hdcp：9,PAR：3,Reg.：131yd,Hdcp：17
1,第１打狙い目バンカー右サイドがベスト,第１打狙い目バンカー右サイドがベスト,第１打狙い目バンカー右サイドがベスト,右ドッグレッグ　第１打残り120Y地点がベスト,右ドッグレッグ　第１打残り120Y地点がベスト,右ドッグレッグ　第１打残り120Y地点がベスト,ショートホール　第１打左OB注意,ショートホール　第１打左OB注意,ショートホール　第１打左OB注意
2,難易度8位/18ホール中 平均スコア6.35 平均パット数1.99 パーオン率31.0% フェアウェイ率42.8% OB率48.5% バンカー率25.0%,難易度8位/18ホール中 平均スコア6.35 平均パット数1.99 パーオン率31.0% フェアウェイ率42.8% OB率48.5% バンカー率25.0%,難易度8位/18ホール中 平均スコア6.35 平均パット数1.99 パーオン率31.0% フェアウェイ率42.8% OB率48.5% バンカー率25.0%,難易度11位/18ホール中 平均スコア5.38 平均パット数1.86 パーオン率13.5% フェアウェイ率52.5% OB率39.0% バンカー率17.5%,難易度11位/18ホール中 平均スコア5.38 平均パット数1.86 パーオン率13.5% フェアウェイ率52.5% OB率39.0% バンカー率17.5%,難易度11位/18ホール中 平均スコア5.38 平均パット数1.86 パーオン率13.5% フェアウェイ率52.5% OB率39.0% バンカー率17.5%,難易度17位/18ホール中 平均スコア4 平均パット数1.98 パーオン率26.5% フェアウェイ率- OB率22.0% バンカー率29.5%,難易度17位/18ホール中 平均スコア4 平均パット数1.98 パーオン率26.5% フェアウェイ率- OB率22.0% バンカー率29.5%,難易度17位/18ホール中 平均スコア4 平均パット数1.98 パーオン率26.5% フェアウェイ率- OB率22.0% バンカー率29.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：471yd,Hdcp：1,PAR：4,Reg.：385yd,Hdcp：5,PAR：3,Reg.：171yd,Hdcp：15
5,第１打右サイドがベスト,第１打右サイドがベスト,第１打右サイドがベスト,第１打左OB　グリーン奥から早い,第１打左OB　グリーン奥から早い,第１打左OB　グリーン奥から早い,第１打右OB　刻んでも良い,第１打右OB　刻んでも良い,第１打右OB　刻んでも良い
6,難易度4位/18ホール中 平均スコア6.49 平均パット数2.05 パーオン率26.5% フェアウェイ率56.8% OB率55.8% バンカー率15.8%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.05 パーオン率26.5% フェアウェイ率56.8% OB率55.8% バンカー率15.8%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.05 パーオン率26.5% フェアウェイ率56.8% OB率55.8% バンカー率15.8%,難易度10位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率15.0% フェアウェイ率49.8% OB率47.0% バンカー率10.3%,難易度10位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率15.0% フェアウェイ率49.8% OB率47.0% バンカー率10.3%,難易度10位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率15.0% フェアウェイ率49.8% OB率47.0% バンカー率10.3%,難易度14位/18ホール中 平均スコア4.1 平均パット数1.96 パーオン率22.0% フェアウェイ率- OB率32.8% バンカー率1.0%,難易度14位/18ホール中 平均スコア4.1 平均パット数1.96 パーオン率22.0% フェアウェイ率- OB率32.8% バンカー率1.0%,難易度14位/18ホール中 平均スコア4.1 平均パット数1.96 パーオン率22.0% フェアウェイ率- OB率32.8% バンカー率1.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：300yd,Hdcp：13,PAR：4,Reg.：404yd,Hdcp：3,PAR：4,Reg.：367yd,Hdcp：7
9,右ドッグレッグ　グリーン奥注意,右ドッグレッグ　グリーン奥注意,右ドッグレッグ　グリーン奥注意,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度15位/18ホール中 平均スコア5.02 平均パット数1.96 パーオン率35.5% フェアウェイ率47.8% OB率45.8% バンカー率9.3%,難易度15位/18ホール中 平均スコア5.02 平均パット数1.96 パーオン率35.5% フェアウェイ率47.8% OB率45.8% バンカー率9.3%,難易度15位/18ホール中 平均スコア5.02 平均パット数1.96 パーオン率35.5% フェアウェイ率47.8% OB率45.8% バンカー率9.3%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.94 パーオン率15.3% フェアウェイ率53.3% OB率51.8% バンカー率16.5%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.94 パーオン率15.3% フェアウェイ率53.3% OB率51.8% バンカー率16.5%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.94 パーオン率15.3% フェアウェイ率53.3% OB率51.8% バンカー率16.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.93 パーオン率15.3% フェアウェイ率50.0% OB率49.5% バンカー率18.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.93 パーオン率15.3% フェアウェイ率50.0% OB率49.5% バンカー率18.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.93 パーオン率15.3% フェアウェイ率50.0% OB率49.5% バンカー率18.5%
