,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：402yd,Hdcp：9,PAR：4,Reg.：423yd,Hdcp：3,PAR：3,Reg.：187yd,Hdcp：11
1,雄大でなだらかな打ち下ろしのホール,雄大でなだらかな打ち下ろしのホール,雄大でなだらかな打ち下ろしのホール,右ドッグレッグで距離の長いミドルホール,右ドッグレッグで距離の長いミドルホール,右ドッグレッグで距離の長いミドルホール,距離の長いショートホール,距離の長いショートホール,距離の長いショートホール
2,難易度12位/18ホール中 平均スコア5.27 平均パット数1.82 パーオン率17.0% フェアウェイ率40.5% OB率14.0% バンカー率61.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.82 パーオン率17.0% フェアウェイ率40.5% OB率14.0% バンカー率61.0%,難易度12位/18ホール中 平均スコア5.27 平均パット数1.82 パーオン率17.0% フェアウェイ率40.5% OB率14.0% バンカー率61.0%,難易度3位/18ホール中 平均スコア5.66 平均パット数2.01 パーオン率17.7% フェアウェイ率36.5% OB率30.0% バンカー率50.3%,難易度3位/18ホール中 平均スコア5.66 平均パット数2.01 パーオン率17.7% フェアウェイ率36.5% OB率30.0% バンカー率50.3%,難易度3位/18ホール中 平均スコア5.66 平均パット数2.01 パーオン率17.7% フェアウェイ率36.5% OB率30.0% バンカー率50.3%,難易度17位/18ホール中 平均スコア4 平均パット数2.01 パーオン率27.7% フェアウェイ率- OB率- バンカー率74.3%,難易度17位/18ホール中 平均スコア4 平均パット数2.01 パーオン率27.7% フェアウェイ率- OB率- バンカー率74.3%,難易度17位/18ホール中 平均スコア4 平均パット数2.01 パーオン率27.7% フェアウェイ率- OB率- バンカー率74.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：550yd,Hdcp：1,PAR：4,Reg.：353yd,Hdcp：13,PAR：5,Reg.：532yd,Hdcp：5
5,距離の長いＳ字のロングホール,距離の長いＳ字のロングホール,距離の長いＳ字のロングホール,真っ直ぐで上りのミドルホール,真っ直ぐで上りのミドルホール,真っ直ぐで上りのミドルホール,３打目あたりから右にドッグレッグしたロングホール,３打目あたりから右にドッグレッグしたロングホール,３打目あたりから右にドッグレッグしたロングホール
6,難易度4位/18ホール中 平均スコア6.61 平均パット数2.08 パーオン率21.0% フェアウェイ率47.0% OB率28.3% バンカー率69.7%,難易度4位/18ホール中 平均スコア6.61 平均パット数2.08 パーオン率21.0% フェアウェイ率47.0% OB率28.3% バンカー率69.7%,難易度4位/18ホール中 平均スコア6.61 平均パット数2.08 パーオン率21.0% フェアウェイ率47.0% OB率28.3% バンカー率69.7%,難易度9位/18ホール中 平均スコア5.16 平均パット数2.05 パーオン率30.8% フェアウェイ率55.3% OB率36.3% バンカー率70.5%,難易度9位/18ホール中 平均スコア5.16 平均パット数2.05 パーオン率30.8% フェアウェイ率55.3% OB率36.3% バンカー率70.5%,難易度9位/18ホール中 平均スコア5.16 平均パット数2.05 パーオン率30.8% フェアウェイ率55.3% OB率36.3% バンカー率70.5%,難易度7位/18ホール中 平均スコア6.43 平均パット数2 パーオン率23.7% フェアウェイ率67.8% OB率36.0% バンカー率70.0%,難易度7位/18ホール中 平均スコア6.43 平均パット数2 パーオン率23.7% フェアウェイ率67.8% OB率36.0% バンカー率70.0%,難易度7位/18ホール中 平均スコア6.43 平均パット数2 パーオン率23.7% フェアウェイ率67.8% OB率36.0% バンカー率70.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：354yd,Hdcp：17,PAR：3,Reg.：195yd,Hdcp：15,PAR：4,Reg.：398yd,Hdcp：7
9,なだらかな打ち下ろしのミドルホール,なだらかな打ち下ろしのミドルホール,なだらかな打ち下ろしのミドルホール,ホールは平坦でグリーンもセンター付近まで平坦,ホールは平坦でグリーンもセンター付近まで平坦,ホールは平坦でグリーンもセンター付近まで平坦,なだらかな打ち上げのミドルホール,なだらかな打ち上げのミドルホール,なだらかな打ち上げのミドルホール
10,難易度15位/18ホール中 平均スコア5.29 平均パット数1.89 パーオン率29.0% フェアウェイ率20.7% OB率22.0% バンカー率72.3%,難易度15位/18ホール中 平均スコア5.29 平均パット数1.89 パーオン率29.0% フェアウェイ率20.7% OB率22.0% バンカー率72.3%,難易度15位/18ホール中 平均スコア5.29 平均パット数1.89 パーオン率29.0% フェアウェイ率20.7% OB率22.0% バンカー率72.3%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.84 パーオン率22.3% フェアウェイ率- OB率8.0% バンカー率80.7%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.84 パーオン率22.3% フェアウェイ率- OB率8.0% バンカー率80.7%,難易度16位/18ホール中 平均スコア4.05 平均パット数1.84 パーオン率22.3% フェアウェイ率- OB率8.0% バンカー率80.7%,難易度10位/18ホール中 平均スコア5.41 平均パット数1.92 パーオン率19.0% フェアウェイ率57.3% OB率33.0% バンカー率57.7%,難易度10位/18ホール中 平均スコア5.41 平均パット数1.92 パーオン率19.0% フェアウェイ率57.3% OB率33.0% バンカー率57.7%,難易度10位/18ホール中 平均スコア5.41 平均パット数1.92 パーオン率19.0% フェアウェイ率57.3% OB率33.0% バンカー率57.7%
