,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：364yd,Hdcp：10,PAR：3,Reg.：140yd,Hdcp：14,PAR：5,Reg.：499yd,Hdcp：6
1,ティショット、右の林は落ちてこずＯＢのケース多し,ティショット、右の林は落ちてこずＯＢのケース多し,ティショット、右の林は落ちてこずＯＢのケース多し,ショートホール 手前からの攻略,ショートホール 手前からの攻略,ショートホール 手前からの攻略,豪快な打ち下ろしのロングホール,豪快な打ち下ろしのロングホール,豪快な打ち下ろしのロングホール
2,難易度6位/18ホール中 平均スコア5.49 平均パット数2.04 パーオン率18.8% フェアウェイ率46.8% OB率52.3% バンカー率9.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.04 パーオン率18.8% フェアウェイ率46.8% OB率52.3% バンカー率9.3%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.04 パーオン率18.8% フェアウェイ率46.8% OB率52.3% バンカー率9.3%,難易度16位/18ホール中 平均スコア3.9 平均パット数1.92 パーオン率27.5% フェアウェイ率- OB率17.8% バンカー率15.0%,難易度16位/18ホール中 平均スコア3.9 平均パット数1.92 パーオン率27.5% フェアウェイ率- OB率17.8% バンカー率15.0%,難易度16位/18ホール中 平均スコア3.9 平均パット数1.92 パーオン率27.5% フェアウェイ率- OB率17.8% バンカー率15.0%,難易度4位/18ホール中 平均スコア6.42 平均パット数2.02 パーオン率33.5% フェアウェイ率40.0% OB率61.5% バンカー率7.3%,難易度4位/18ホール中 平均スコア6.42 平均パット数2.02 パーオン率33.5% フェアウェイ率40.0% OB率61.5% バンカー率7.3%,難易度4位/18ホール中 平均スコア6.42 平均パット数2.02 パーオン率33.5% フェアウェイ率40.0% OB率61.5% バンカー率7.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：320yd,Hdcp：12,PAR：4,Reg.：343yd,Hdcp：18,PAR：3,Reg.：120yd,Hdcp：16
5,名物ホール！クリークに注意,名物ホール！クリークに注意,名物ホール！クリークに注意,ティショット、フェアウェイ右サイド狙い,ティショット、フェアウェイ右サイド狙い,ティショット、フェアウェイ右サイド狙い,打ち上げ２段グリーンのホール,打ち上げ２段グリーンのホール,打ち上げ２段グリーンのホール
6,難易度12位/18ホール中 平均スコア5.28 平均パット数2.07 パーオン率31.3% フェアウェイ率47.8% OB率37.3% バンカー率12.5%,難易度12位/18ホール中 平均スコア5.28 平均パット数2.07 パーオン率31.3% フェアウェイ率47.8% OB率37.3% バンカー率12.5%,難易度12位/18ホール中 平均スコア5.28 平均パット数2.07 パーオン率31.3% フェアウェイ率47.8% OB率37.3% バンカー率12.5%,難易度13位/18ホール中 平均スコア5.22 平均パット数2.01 パーオン率29.8% フェアウェイ率46.3% OB率38.0% バンカー率21.3%,難易度13位/18ホール中 平均スコア5.22 平均パット数2.01 パーオン率29.8% フェアウェイ率46.3% OB率38.0% バンカー率21.3%,難易度13位/18ホール中 平均スコア5.22 平均パット数2.01 パーオン率29.8% フェアウェイ率46.3% OB率38.0% バンカー率21.3%,難易度17位/18ホール中 平均スコア3.77 平均パット数1.96 パーオン率40.0% フェアウェイ率- OB率25.0% バンカー率11.0%,難易度17位/18ホール中 平均スコア3.77 平均パット数1.96 パーオン率40.0% フェアウェイ率- OB率25.0% バンカー率11.0%,難易度17位/18ホール中 平均スコア3.77 平均パット数1.96 パーオン率40.0% フェアウェイ率- OB率25.0% バンカー率11.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：370yd,Hdcp：8,PAR：4,Reg.：359yd,Hdcp：2,PAR：5,Reg.：471yd,Hdcp：4
9,セカンド地点は下り斜面,セカンド地点は下り斜面,セカンド地点は下り斜面,ティショットは豪快な打ち上げ,ティショットは豪快な打ち上げ,ティショットは豪快な打ち上げ,ティショットは右のＯＢに注意　左サイド狙い,ティショットは右のＯＢに注意　左サイド狙い,ティショットは右のＯＢに注意　左サイド狙い
10,難易度2位/18ホール中 平均スコア5.67 平均パット数2.05 パーオン率19.0% フェアウェイ率48.5% OB率54.8% バンカー率27.3%,難易度2位/18ホール中 平均スコア5.67 平均パット数2.05 パーオン率19.0% フェアウェイ率48.5% OB率54.8% バンカー率27.3%,難易度2位/18ホール中 平均スコア5.67 平均パット数2.05 パーオン率19.0% フェアウェイ率48.5% OB率54.8% バンカー率27.3%,難易度5位/18ホール中 平均スコア5.51 平均パット数2 パーオン率13.8% フェアウェイ率47.3% OB率34.8% バンカー率26.5%,難易度5位/18ホール中 平均スコア5.51 平均パット数2 パーオン率13.8% フェアウェイ率47.3% OB率34.8% バンカー率26.5%,難易度5位/18ホール中 平均スコア5.51 平均パット数2 パーオン率13.8% フェアウェイ率47.3% OB率34.8% バンカー率26.5%,難易度10位/18ホール中 平均スコア6.26 平均パット数2.03 パーオン率36.8% フェアウェイ率45.3% OB率50.8% バンカー率7.3%,難易度10位/18ホール中 平均スコア6.26 平均パット数2.03 パーオン率36.8% フェアウェイ率45.3% OB率50.8% バンカー率7.3%,難易度10位/18ホール中 平均スコア6.26 平均パット数2.03 パーオン率36.8% フェアウェイ率45.3% OB率50.8% バンカー率7.3%
