,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：365yd,Hdcp：11,PAR：3,Reg.：165yd,Hdcp：17,PAR：5,Reg.：485yd,Hdcp：5
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
2,難易度12位/18ホール中 平均スコア5.34 平均パット数2.05 パーオン率21.8% フェアウェイ率50.3% OB率27.3% バンカー率26.0%,難易度12位/18ホール中 平均スコア5.34 平均パット数2.05 パーオン率21.8% フェアウェイ率50.3% OB率27.3% バンカー率26.0%,難易度12位/18ホール中 平均スコア5.34 平均パット数2.05 パーオン率21.8% フェアウェイ率50.3% OB率27.3% バンカー率26.0%,難易度14位/18ホール中 平均スコア4.26 平均パット数2.06 パーオン率16.5% フェアウェイ率- OB率38.0% バンカー率30.0%,難易度14位/18ホール中 平均スコア4.26 平均パット数2.06 パーオン率16.5% フェアウェイ率- OB率38.0% バンカー率30.0%,難易度14位/18ホール中 平均スコア4.26 平均パット数2.06 パーオン率16.5% フェアウェイ率- OB率38.0% バンカー率30.0%,難易度3位/18ホール中 平均スコア6.53 平均パット数2.06 パーオン率30.5% フェアウェイ率54.3% OB率61.8% バンカー率12.5%,難易度3位/18ホール中 平均スコア6.53 平均パット数2.06 パーオン率30.5% フェアウェイ率54.3% OB率61.8% バンカー率12.5%,難易度3位/18ホール中 平均スコア6.53 平均パット数2.06 パーオン率30.5% フェアウェイ率54.3% OB率61.8% バンカー率12.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：385yd,Hdcp：1,PAR：5,Reg.：480yd,Hdcp：7,PAR：4,Reg.：295yd,Hdcp：3
5,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度2位/18ホール中 平均スコア5.74 平均パット数2.1 パーオン率9.8% フェアウェイ率62.3% OB率49.3% バンカー率5.5%,難易度2位/18ホール中 平均スコア5.74 平均パット数2.1 パーオン率9.8% フェアウェイ率62.3% OB率49.3% バンカー率5.5%,難易度2位/18ホール中 平均スコア5.74 平均パット数2.1 パーオン率9.8% フェアウェイ率62.3% OB率49.3% バンカー率5.5%,難易度11位/18ホール中 平均スコア6.3 平均パット数2.06 パーオン率29.3% フェアウェイ率60.5% OB率39.0% バンカー率18.8%,難易度11位/18ホール中 平均スコア6.3 平均パット数2.06 パーオン率29.3% フェアウェイ率60.5% OB率39.0% バンカー率18.8%,難易度11位/18ホール中 平均スコア6.3 平均パット数2.06 パーオン率29.3% フェアウェイ率60.5% OB率39.0% バンカー率18.8%,難易度9位/18ホール中 平均スコア5.45 平均パット数2.07 パーオン率23.0% フェアウェイ率55.3% OB率49.0% バンカー率15.0%,難易度9位/18ホール中 平均スコア5.45 平均パット数2.07 パーオン率23.0% フェアウェイ率55.3% OB率49.0% バンカー率15.0%,難易度9位/18ホール中 平均スコア5.45 平均パット数2.07 パーオン率23.0% フェアウェイ率55.3% OB率49.0% バンカー率15.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：110yd,Hdcp：15,PAR：4,Reg.：295yd,Hdcp：13,PAR：4,Reg.：365yd,Hdcp：9
9,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度18位/18ホール中 平均スコア3.86 平均パット数2.07 パーオン率41.0% フェアウェイ率- OB率25.5% バンカー率19.3%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.07 パーオン率41.0% フェアウェイ率- OB率25.5% バンカー率19.3%,難易度18位/18ホール中 平均スコア3.86 平均パット数2.07 パーオン率41.0% フェアウェイ率- OB率25.5% バンカー率19.3%,難易度13位/18ホール中 平均スコア5.2 平均パット数2.06 パーオン率34.0% フェアウェイ率48.3% OB率42.3% バンカー率23.8%,難易度13位/18ホール中 平均スコア5.2 平均パット数2.06 パーオン率34.0% フェアウェイ率48.3% OB率42.3% バンカー率23.8%,難易度13位/18ホール中 平均スコア5.2 平均パット数2.06 パーオン率34.0% フェアウェイ率48.3% OB率42.3% バンカー率23.8%,難易度6位/18ホール中 平均スコア5.46 平均パット数2.07 パーオン率19.0% フェアウェイ率57.8% OB率48.8% バンカー率7.0%,難易度6位/18ホール中 平均スコア5.46 平均パット数2.07 パーオン率19.0% フェアウェイ率57.8% OB率48.8% バンカー率7.0%,難易度6位/18ホール中 平均スコア5.46 平均パット数2.07 パーオン率19.0% フェアウェイ率57.8% OB率48.8% バンカー率7.0%
