,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：509yd,Hdcp：3,PAR：4,Reg.：347yd,Hdcp：9,PAR：4,Reg.：365yd,Hdcp：15
1,見晴らしのよいスターティングボール,見晴らしのよいスターティングボール,見晴らしのよいスターティングボール,18ホール中、唯一バンカーのないホール,18ホール中、唯一バンカーのないホール,18ホール中、唯一バンカーのないホール,正確なショットが要求される打ち下ろしのホール,正確なショットが要求される打ち下ろしのホール,正確なショットが要求される打ち下ろしのホール
2,難易度4位/18ホール中 平均スコア6.53 平均パット数2.07 パーオン率23.5% フェアウェイ率61.0% OB率38.5% バンカー率36.0%,難易度4位/18ホール中 平均スコア6.53 平均パット数2.07 パーオン率23.5% フェアウェイ率61.0% OB率38.5% バンカー率36.0%,難易度4位/18ホール中 平均スコア6.53 平均パット数2.07 パーオン率23.5% フェアウェイ率61.0% OB率38.5% バンカー率36.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.08 パーオン率12.3% フェアウェイ率59.5% OB率34.0% バンカー率3.5%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.08 パーオン率12.3% フェアウェイ率59.5% OB率34.0% バンカー率3.5%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.08 パーオン率12.3% フェアウェイ率59.5% OB率34.0% バンカー率3.5%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.02 パーオン率26.0% フェアウェイ率58.5% OB率29.0% バンカー率38.5%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.02 パーオン率26.0% フェアウェイ率58.5% OB率29.0% バンカー率38.5%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.02 パーオン率26.0% フェアウェイ率58.5% OB率29.0% バンカー率38.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：181yd,Hdcp：13,PAR：4,Reg.：358yd,Hdcp：1,PAR：4,Reg.：324yd,Hdcp：7
5,縦方向に長いグリーン ピン位置によっては30Y違う,縦方向に長いグリーン ピン位置によっては30Y違う,縦方向に長いグリーン ピン位置によっては30Y違う,フラットなミドルホール　頭脳的な戦略で攻める,フラットなミドルホール　頭脳的な戦略で攻める,フラットなミドルホール　頭脳的な戦略で攻める,セカンド地点から極端な打ち下ろしとなっている,セカンド地点から極端な打ち下ろしとなっている,セカンド地点から極端な打ち下ろしとなっている
6,難易度16位/18ホール中 平均スコア4 平均パット数2.04 パーオン率32.0% フェアウェイ率- OB率12.5% バンカー率41.0%,難易度16位/18ホール中 平均スコア4 平均パット数2.04 パーオン率32.0% フェアウェイ率- OB率12.5% バンカー率41.0%,難易度16位/18ホール中 平均スコア4 平均パット数2.04 パーオン率32.0% フェアウェイ率- OB率12.5% バンカー率41.0%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.05 パーオン率19.5% フェアウェイ率51.8% OB率39.5% バンカー率14.5%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.05 パーオン率19.5% フェアウェイ率51.8% OB率39.5% バンカー率14.5%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.05 パーオン率19.5% フェアウェイ率51.8% OB率39.5% バンカー率14.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.08 パーオン率35.0% フェアウェイ率56.0% OB率32.8% バンカー率27.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.08 パーオン率35.0% フェアウェイ率56.0% OB率32.8% バンカー率27.5%,難易度14位/18ホール中 平均スコア5.12 平均パット数2.08 パーオン率35.0% フェアウェイ率56.0% OB率32.8% バンカー率27.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：498yd,Hdcp：11,PAR：3,Reg.：162yd,Hdcp：17,PAR：4,Reg.：353yd,Hdcp：5
9,ダイナミックに打ち下ろしていくロングホール,ダイナミックに打ち下ろしていくロングホール,ダイナミックに打ち下ろしていくロングホール,右手前のグラスバンカーに入れると少し厄介,右手前のグラスバンカーに入れると少し厄介,右手前のグラスバンカーに入れると少し厄介,狭く感じるがそれほど気にする必要はない,狭く感じるがそれほど気にする必要はない,狭く感じるがそれほど気にする必要はない
10,難易度3位/18ホール中 平均スコア6.5 平均パット数2.09 パーオン率26.5% フェアウェイ率53.0% OB率39.5% バンカー率40.0%,難易度3位/18ホール中 平均スコア6.5 平均パット数2.09 パーオン率26.5% フェアウェイ率53.0% OB率39.5% バンカー率40.0%,難易度3位/18ホール中 平均スコア6.5 平均パット数2.09 パーオン率26.5% フェアウェイ率53.0% OB率39.5% バンカー率40.0%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.96 パーオン率34.8% フェアウェイ率- OB率7.3% バンカー率28.8%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.96 パーオン率34.8% フェアウェイ率- OB率7.3% バンカー率28.8%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.96 パーオン率34.8% フェアウェイ率- OB率7.3% バンカー率28.8%,難易度8位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率21.3% フェアウェイ率54.0% OB率30.3% バンカー率36.3%,難易度8位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率21.3% フェアウェイ率54.0% OB率30.3% バンカー率36.3%,難易度8位/18ホール中 平均スコア5.38 平均パット数2.05 パーオン率21.3% フェアウェイ率54.0% OB率30.3% バンカー率36.3%
