,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：344yd,Hdcp：10,PAR：4,Reg.：360yd,Hdcp：4,PAR：3,Reg.：168yd,Hdcp：16
1,やや打ち上げの易しいホール,やや打ち上げの易しいホール,やや打ち上げの易しいホール,右サイドのＯＢゾーンは避けたい,右サイドのＯＢゾーンは避けたい,右サイドのＯＢゾーンは避けたい,景観のすばらしい打ち下ろしのショートホール,景観のすばらしい打ち下ろしのショートホール,景観のすばらしい打ち下ろしのショートホール
2,難易度13位/18ホール中 平均スコア5.3 平均パット数2.01 パーオン率19.5% フェアウェイ率60.8% OB率12.3% バンカー率20.5%,難易度13位/18ホール中 平均スコア5.3 平均パット数2.01 パーオン率19.5% フェアウェイ率60.8% OB率12.3% バンカー率20.5%,難易度13位/18ホール中 平均スコア5.3 平均パット数2.01 パーオン率19.5% フェアウェイ率60.8% OB率12.3% バンカー率20.5%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.05 パーオン率14.5% フェアウェイ率48.3% OB率26.5% バンカー率21.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.05 パーオン率14.5% フェアウェイ率48.3% OB率26.5% バンカー率21.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数2.05 パーオン率14.5% フェアウェイ率48.3% OB率26.5% バンカー率21.0%,難易度16位/18ホール中 平均スコア4.07 平均パット数2.08 パーオン率27.5% フェアウェイ率- OB率12.3% バンカー率16.8%,難易度16位/18ホール中 平均スコア4.07 平均パット数2.08 パーオン率27.5% フェアウェイ率- OB率12.3% バンカー率16.8%,難易度16位/18ホール中 平均スコア4.07 平均パット数2.08 パーオン率27.5% フェアウェイ率- OB率12.3% バンカー率16.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：489yd,Hdcp：8,PAR：4,Reg.：367yd,Hdcp：2,PAR：4,Reg.：328yd,Hdcp：14
5,第１打は赤城山に向かって豪快に,第１打は赤城山に向かって豪快に,第１打は赤城山に向かって豪快に,第２打はグリーンオーバー禁物,第２打はグリーンオーバー禁物,第２打はグリーンオーバー禁物,比較的短いのでパーは確実に取りたいミドル,比較的短いのでパーは確実に取りたいミドル,比較的短いのでパーは確実に取りたいミドル
6,難易度12位/18ホール中 平均スコア6.36 平均パット数2.01 パーオン率24.5% フェアウェイ率55.8% OB率19.3% バンカー率24.0%,難易度12位/18ホール中 平均スコア6.36 平均パット数2.01 パーオン率24.5% フェアウェイ率55.8% OB率19.3% バンカー率24.0%,難易度12位/18ホール中 平均スコア6.36 平均パット数2.01 パーオン率24.5% フェアウェイ率55.8% OB率19.3% バンカー率24.0%,難易度14位/18ホール中 平均スコア5.31 平均パット数2.12 パーオン率25.5% フェアウェイ率54.8% OB率19.0% バンカー率18.3%,難易度14位/18ホール中 平均スコア5.31 平均パット数2.12 パーオン率25.5% フェアウェイ率54.8% OB率19.0% バンカー率18.3%,難易度14位/18ホール中 平均スコア5.31 平均パット数2.12 パーオン率25.5% フェアウェイ率54.8% OB率19.0% バンカー率18.3%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.11 パーオン率20.8% フェアウェイ率48.0% OB率13.8% バンカー率29.8%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.11 パーオン率20.8% フェアウェイ率48.0% OB率13.8% バンカー率29.8%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.11 パーオン率20.8% フェアウェイ率48.0% OB率13.8% バンカー率29.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：169yd,Hdcp：18,PAR：4,Reg.：368yd,Hdcp：6,PAR：5,Reg.：505yd,Hdcp：12
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,グリーン奥は要注意。手前から攻めるのがベスト,グリーン奥は要注意。手前から攻めるのがベスト,グリーン奥は要注意。手前から攻めるのがベスト,グリーン手前に池を配した美しいホール,グリーン手前に池を配した美しいホール,グリーン手前に池を配した美しいホール
10,難易度15位/18ホール中 平均スコア4.13 平均パット数2 パーオン率24.8% フェアウェイ率- OB率3.3% バンカー率28.8%,難易度15位/18ホール中 平均スコア4.13 平均パット数2 パーオン率24.8% フェアウェイ率- OB率3.3% バンカー率28.8%,難易度15位/18ホール中 平均スコア4.13 平均パット数2 パーオン率24.8% フェアウェイ率- OB率3.3% バンカー率28.8%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.01 パーオン率20.5% フェアウェイ率46.3% OB率8.0% バンカー率36.5%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.01 パーオン率20.5% フェアウェイ率46.3% OB率8.0% バンカー率36.5%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.01 パーオン率20.5% フェアウェイ率46.3% OB率8.0% バンカー率36.5%,難易度3位/18ホール中 平均スコア6.56 平均パット数2.05 パーオン率22.0% フェアウェイ率43.5% OB率16.0% バンカー率29.5%,難易度3位/18ホール中 平均スコア6.56 平均パット数2.05 パーオン率22.0% フェアウェイ率43.5% OB率16.0% バンカー率29.5%,難易度3位/18ホール中 平均スコア6.56 平均パット数2.05 パーオン率22.0% フェアウェイ率43.5% OB率16.0% バンカー率29.5%
