,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：537yd,Hdcp：15,PAR：3,Reg.：192yd,Hdcp：9,PAR：4,Reg.：393yd,Hdcp：3
1,やや打ち下ろし左ドッグレッグのロングホール,やや打ち下ろし左ドッグレッグのロングホール,やや打ち下ろし左ドッグレッグのロングホール,打ち上げの距離のあるショートホール,打ち上げの距離のあるショートホール,打ち上げの距離のあるショートホール,左ドックレッグで左斜面と中央の松の中間狙い,左ドックレッグで左斜面と中央の松の中間狙い,左ドックレッグで左斜面と中央の松の中間狙い
2,難易度9位/18ホール中 平均スコア6.36 平均パット数1.98 パーオン率23.8% フェアウェイ率32.3% OB率18.0% バンカー率31.3%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.98 パーオン率23.8% フェアウェイ率32.3% OB率18.0% バンカー率31.3%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.98 パーオン率23.8% フェアウェイ率32.3% OB率18.0% バンカー率31.3%,難易度8位/18ホール中 平均スコア4.44 平均パット数2.02 パーオン率6.3% フェアウェイ率- OB率10.3% バンカー率15.0%,難易度8位/18ホール中 平均スコア4.44 平均パット数2.02 パーオン率6.3% フェアウェイ率- OB率10.3% バンカー率15.0%,難易度8位/18ホール中 平均スコア4.44 平均パット数2.02 パーオン率6.3% フェアウェイ率- OB率10.3% バンカー率15.0%,難易度4位/18ホール中 平均スコア5.53 平均パット数2.14 パーオン率17.3% フェアウェイ率55.8% OB率25.0% バンカー率18.5%,難易度4位/18ホール中 平均スコア5.53 平均パット数2.14 パーオン率17.3% フェアウェイ率55.8% OB率25.0% バンカー率18.5%,難易度4位/18ホール中 平均スコア5.53 平均パット数2.14 パーオン率17.3% フェアウェイ率55.8% OB率25.0% バンカー率18.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：423yd,Hdcp：1,PAR：4,Reg.：370yd,Hdcp：7,PAR：3,Reg.：171yd,Hdcp：13
5,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,セカンドショットは打ち上げ,セカンドショットは打ち上げ,セカンドショットは打ち上げ,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール
6,難易度5位/18ホール中 平均スコア5.48 平均パット数1.95 パーオン率16.0% フェアウェイ率53.3% OB率24.5% バンカー率16.0%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.95 パーオン率16.0% フェアウェイ率53.3% OB率24.5% バンカー率16.0%,難易度5位/18ホール中 平均スコア5.48 平均パット数1.95 パーオン率16.0% フェアウェイ率53.3% OB率24.5% バンカー率16.0%,難易度1位/18ホール中 平均スコア5.7 平均パット数2.01 パーオン率8.8% フェアウェイ率48.5% OB率17.0% バンカー率36.0%,難易度1位/18ホール中 平均スコア5.7 平均パット数2.01 パーオン率8.8% フェアウェイ率48.5% OB率17.0% バンカー率36.0%,難易度1位/18ホール中 平均スコア5.7 平均パット数2.01 パーオン率8.8% フェアウェイ率48.5% OB率17.0% バンカー率36.0%,難易度18位/18ホール中 平均スコア4 平均パット数1.86 パーオン率22.5% フェアウェイ率- OB率30.3% バンカー率20.8%,難易度18位/18ホール中 平均スコア4 平均パット数1.86 パーオン率22.5% フェアウェイ率- OB率30.3% バンカー率20.8%,難易度18位/18ホール中 平均スコア4 平均パット数1.86 パーオン率22.5% フェアウェイ率- OB率30.3% バンカー率20.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：330yd,Hdcp：11,PAR：5,Reg.：494yd,Hdcp：17,PAR：4,Reg.：368yd,Hdcp：5
9,比較的距離が短く打ち下ろしのミドルホール,比較的距離が短く打ち下ろしのミドルホール,比較的距離が短く打ち下ろしのミドルホール,谷越えの真っすぐなロングホール,谷越えの真っすぐなロングホール,谷越えの真っすぐなロングホール,アウトコースで一番難しいミドルホール,アウトコースで一番難しいミドルホール,アウトコースで一番難しいミドルホール
10,難易度13位/18ホール中 平均スコア5.15 平均パット数1.91 パーオン率30.3% フェアウェイ率50.0% OB率42.7% バンカー率32.0%,難易度13位/18ホール中 平均スコア5.15 平均パット数1.91 パーオン率30.3% フェアウェイ率50.0% OB率42.7% バンカー率32.0%,難易度13位/18ホール中 平均スコア5.15 平均パット数1.91 パーオン率30.3% フェアウェイ率50.0% OB率42.7% バンカー率32.0%,難易度14位/18ホール中 平均スコア6.21 平均パット数2.02 パーオン率30.5% フェアウェイ率49.8% OB率25.3% バンカー率24.0%,難易度14位/18ホール中 平均スコア6.21 平均パット数2.02 パーオン率30.5% フェアウェイ率49.8% OB率25.3% バンカー率24.0%,難易度14位/18ホール中 平均スコア6.21 平均パット数2.02 パーオン率30.5% フェアウェイ率49.8% OB率25.3% バンカー率24.0%,難易度7位/18ホール中 平均スコア5.56 平均パット数2.03 パーオン率11.3% フェアウェイ率45.8% OB率25.8% バンカー率11.7%,難易度7位/18ホール中 平均スコア5.56 平均パット数2.03 パーオン率11.3% フェアウェイ率45.8% OB率25.8% バンカー率11.7%,難易度7位/18ホール中 平均スコア5.56 平均パット数2.03 パーオン率11.3% フェアウェイ率45.8% OB率25.8% バンカー率11.7%
