,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：357yd,Hdcp：16,PAR：4,Reg.：386yd,Hdcp：4,PAR：4,Reg.：329yd,Hdcp：14
1,浅い谷越えのミドルホール,浅い谷越えのミドルホール,浅い谷越えのミドルホール,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
2,難易度12位/18ホール中 平均スコア5.3 平均パット数1.95 パーオン率18.3% フェアウェイ率56.0% OB率9.3% バンカー率27.8%,難易度12位/18ホール中 平均スコア5.3 平均パット数1.95 パーオン率18.3% フェアウェイ率56.0% OB率9.3% バンカー率27.8%,難易度12位/18ホール中 平均スコア5.3 平均パット数1.95 パーオン率18.3% フェアウェイ率56.0% OB率9.3% バンカー率27.8%,難易度9位/18ホール中 平均スコア5.4 平均パット数1.94 パーオン率12.5% フェアウェイ率51.3% OB率14.0% バンカー率22.3%,難易度9位/18ホール中 平均スコア5.4 平均パット数1.94 パーオン率12.5% フェアウェイ率51.3% OB率14.0% バンカー率22.3%,難易度9位/18ホール中 平均スコア5.4 平均パット数1.94 パーオン率12.5% フェアウェイ率51.3% OB率14.0% バンカー率22.3%,難易度13位/18ホール中 平均スコア5.19 平均パット数1.9 パーオン率27.3% フェアウェイ率50.0% OB率13.3% バンカー率14.0%,難易度13位/18ホール中 平均スコア5.19 平均パット数1.9 パーオン率27.3% フェアウェイ率50.0% OB率13.3% バンカー率14.0%,難易度13位/18ホール中 平均スコア5.19 平均パット数1.9 パーオン率27.3% フェアウェイ率50.0% OB率13.3% バンカー率14.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：150yd,Hdcp：18,PAR：5,Reg.：550yd,Hdcp：2,PAR：3,Reg.：210yd,Hdcp：8
5,距離面ではやさしいショートホール,距離面ではやさしいショートホール,距離面ではやさしいショートホール,コース最長のロングホール,コース最長のロングホール,コース最長のロングホール,距離のあるショートホール,距離のあるショートホール,距離のあるショートホール
6,難易度16位/18ホール中 平均スコア4.11 平均パット数1.9 パーオン率14.8% フェアウェイ率- OB率5.7% バンカー率32.0%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.9 パーオン率14.8% フェアウェイ率- OB率5.7% バンカー率32.0%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.9 パーオン率14.8% フェアウェイ率- OB率5.7% バンカー率32.0%,難易度1位/18ホール中 平均スコア6.91 平均パット数1.98 パーオン率6.0% フェアウェイ率51.8% OB率6.0% バンカー率25.0%,難易度1位/18ホール中 平均スコア6.91 平均パット数1.98 パーオン率6.0% フェアウェイ率51.8% OB率6.0% バンカー率25.0%,難易度1位/18ホール中 平均スコア6.91 平均パット数1.98 パーオン率6.0% フェアウェイ率51.8% OB率6.0% バンカー率25.0%,難易度15位/18ホール中 平均スコア4.17 平均パット数1.89 パーオン率13.8% フェアウェイ率- OB率8.7% バンカー率23.0%,難易度15位/18ホール中 平均スコア4.17 平均パット数1.89 パーオン率13.8% フェアウェイ率- OB率8.7% バンカー率23.0%,難易度15位/18ホール中 平均スコア4.17 平均パット数1.89 パーオン率13.8% フェアウェイ率- OB率8.7% バンカー率23.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：493yd,Hdcp：10,PAR：4,Reg.：435yd,Hdcp：6,PAR：4,Reg.：379yd,Hdcp：12
9,思い切ったスウィングが必要なロングホール,思い切ったスウィングが必要なロングホール,思い切ったスウィングが必要なロングホール,コース最長のミドルホール,コース最長のミドルホール,コース最長のミドルホール,バンカーの多いミドル　手前がＬ（左）グリーン,バンカーの多いミドル　手前がＬ（左）グリーン,バンカーの多いミドル　手前がＬ（左）グリーン
10,難易度4位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率20.8% フェアウェイ率61.3% OB率20.8% バンカー率25.5%,難易度4位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率20.8% フェアウェイ率61.3% OB率20.8% バンカー率25.5%,難易度4位/18ホール中 平均スコア6.49 平均パット数1.99 パーオン率20.8% フェアウェイ率61.3% OB率20.8% バンカー率25.5%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.93 パーオン率8.8% フェアウェイ率59.8% OB率13.5% バンカー率14.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.93 パーオン率8.8% フェアウェイ率59.8% OB率13.5% バンカー率14.0%,難易度5位/18ホール中 平均スコア5.56 平均パット数1.93 パーオン率8.8% フェアウェイ率59.8% OB率13.5% バンカー率14.0%,難易度2位/18ホール中 平均スコア5.68 平均パット数2.01 パーオン率8.3% フェアウェイ率57.8% OB率3.3% バンカー率47.0%,難易度2位/18ホール中 平均スコア5.68 平均パット数2.01 パーオン率8.3% フェアウェイ率57.8% OB率3.3% バンカー率47.0%,難易度2位/18ホール中 平均スコア5.68 平均パット数2.01 パーオン率8.3% フェアウェイ率57.8% OB率3.3% バンカー率47.0%
