,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：529yd,Hdcp：9,PAR：4,Reg.：391yd,Hdcp：3,PAR：3,Reg.：153yd,Hdcp：17
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール,,,
2,難易度1位/18ホール中 平均スコア6.53 平均パット数1.93 パーオン率15.3% フェアウェイ率50.5% OB率13.0% バンカー率16.5%,難易度1位/18ホール中 平均スコア6.53 平均パット数1.93 パーオン率15.3% フェアウェイ率50.5% OB率13.0% バンカー率16.5%,難易度1位/18ホール中 平均スコア6.53 平均パット数1.93 パーオン率15.3% フェアウェイ率50.5% OB率13.0% バンカー率16.5%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.94 パーオン率11.8% フェアウェイ率37.5% OB率11.8% バンカー率22.0%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.94 パーオン率11.8% フェアウェイ率37.5% OB率11.8% バンカー率22.0%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.94 パーオン率11.8% フェアウェイ率37.5% OB率11.8% バンカー率22.0%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.89 パーオン率29.0% フェアウェイ率- OB率3.5% バンカー率28.5%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.89 パーオン率29.0% フェアウェイ率- OB率3.5% バンカー率28.5%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.89 パーオン率29.0% フェアウェイ率- OB率3.5% バンカー率28.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：332yd,Hdcp：13,PAR：4,Reg.：377yd,Hdcp：1,PAR：4,Reg.：381yd,Hdcp：7
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度11位/18ホール中 平均スコア5.27 平均パット数1.97 パーオン率21.8% フェアウェイ率48.5% OB率5.0% バンカー率22.5%,難易度11位/18ホール中 平均スコア5.27 平均パット数1.97 パーオン率21.8% フェアウェイ率48.5% OB率5.0% バンカー率22.5%,難易度11位/18ホール中 平均スコア5.27 平均パット数1.97 パーオン率21.8% フェアウェイ率48.5% OB率5.0% バンカー率22.5%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.91 パーオン率14.8% フェアウェイ率48.3% OB率2.3% バンカー率37.0%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.91 パーオン率14.8% フェアウェイ率48.3% OB率2.3% バンカー率37.0%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.91 パーオン率14.8% フェアウェイ率48.3% OB率2.3% バンカー率37.0%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率12.8% フェアウェイ率49.0% OB率3.7% バンカー率24.5%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率12.8% フェアウェイ率49.0% OB率3.7% バンカー率24.5%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.95 パーオン率12.8% フェアウェイ率49.0% OB率3.7% バンカー率24.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：179yd,Hdcp：15,PAR：5,Reg.：494yd,Hdcp：5,PAR：4,Reg.：414yd,Hdcp：11
9,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度16位/18ホール中 平均スコア4.11 平均パット数1.92 パーオン率16.0% フェアウェイ率- OB率11.3% バンカー率17.8%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.92 パーオン率16.0% フェアウェイ率- OB率11.3% バンカー率17.8%,難易度16位/18ホール中 平均スコア4.11 平均パット数1.92 パーオン率16.0% フェアウェイ率- OB率11.3% バンカー率17.8%,難易度13位/18ホール中 平均スコア6.19 平均パット数1.92 パーオン率25.8% フェアウェイ率47.0% OB率3.7% バンカー率21.0%,難易度13位/18ホール中 平均スコア6.19 平均パット数1.92 パーオン率25.8% フェアウェイ率47.0% OB率3.7% バンカー率21.0%,難易度13位/18ホール中 平均スコア6.19 平均パット数1.92 パーオン率25.8% フェアウェイ率47.0% OB率3.7% バンカー率21.0%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.9 パーオン率9.0% フェアウェイ率54.8% OB率5.3% バンカー率17.3%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.9 パーオン率9.0% フェアウェイ率54.8% OB率5.3% バンカー率17.3%,難易度3位/18ホール中 平均スコア5.44 平均パット数1.9 パーオン率9.0% フェアウェイ率54.8% OB率5.3% バンカー率17.3%
