,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：353yd,Hdcp：11,PAR：4,Reg.：329yd,Hdcp：3,PAR：5,Reg.：478yd,Hdcp：7
1,第一打は右裾を狙って豪快に,第一打は右裾を狙って豪快に,第一打は右裾を狙って豪快に,距離は見た目ほどではないが左ＯＢ,距離は見た目ほどではないが左ＯＢ,距離は見た目ほどではないが左ＯＢ,１打目は右サイドの池に気を付ける,１打目は右サイドの池に気を付ける,１打目は右サイドの池に気を付ける
2,難易度5位/18ホール中 平均スコア5.49 平均パット数2.11 パーオン率17.5% フェアウェイ率60.5% OB率4.0% バンカー率15.0%,難易度5位/18ホール中 平均スコア5.49 平均パット数2.11 パーオン率17.5% フェアウェイ率60.5% OB率4.0% バンカー率15.0%,難易度5位/18ホール中 平均スコア5.49 平均パット数2.11 パーオン率17.5% フェアウェイ率60.5% OB率4.0% バンカー率15.0%,難易度3位/18ホール中 平均スコア5.64 平均パット数2 パーオン率17.5% フェアウェイ率48.8% OB率26.8% バンカー率10.0%,難易度3位/18ホール中 平均スコア5.64 平均パット数2 パーオン率17.5% フェアウェイ率48.8% OB率26.8% バンカー率10.0%,難易度3位/18ホール中 平均スコア5.64 平均パット数2 パーオン率17.5% フェアウェイ率48.8% OB率26.8% バンカー率10.0%,難易度11位/18ホール中 平均スコア6.35 平均パット数2.07 パーオン率31.0% フェアウェイ率56.8% OB率21.5% バンカー率15.8%,難易度11位/18ホール中 平均スコア6.35 平均パット数2.07 パーオン率31.0% フェアウェイ率56.8% OB率21.5% バンカー率15.8%,難易度11位/18ホール中 平均スコア6.35 平均パット数2.07 パーオン率31.0% フェアウェイ率56.8% OB率21.5% バンカー率15.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：397yd,Hdcp：1,PAR：3,Reg.：150yd,Hdcp：15,PAR：4,Reg.：296yd,Hdcp：17
5,打ち下ろしの長めのミドルホール,打ち下ろしの長めのミドルホール,打ち下ろしの長めのミドルホール,渚とヒトデ形のバンカーで３段グリーン,渚とヒトデ形のバンカーで３段グリーン,渚とヒトデ形のバンカーで３段グリーン,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール
6,難易度7位/18ホール中 平均スコア5.5 平均パット数2.05 パーオン率17.8% フェアウェイ率64.3% OB率20.8% バンカー率30.8%,難易度7位/18ホール中 平均スコア5.5 平均パット数2.05 パーオン率17.8% フェアウェイ率64.3% OB率20.8% バンカー率30.8%,難易度7位/18ホール中 平均スコア5.5 平均パット数2.05 パーオン率17.8% フェアウェイ率64.3% OB率20.8% バンカー率30.8%,難易度17位/18ホール中 平均スコア3.9 平均パット数2 パーオン率36.0% フェアウェイ率- OB率14.5% バンカー率31.8%,難易度17位/18ホール中 平均スコア3.9 平均パット数2 パーオン率36.0% フェアウェイ率- OB率14.5% バンカー率31.8%,難易度17位/18ホール中 平均スコア3.9 平均パット数2 パーオン率36.0% フェアウェイ率- OB率14.5% バンカー率31.8%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.07 パーオン率24.8% フェアウェイ率56.5% OB率34.5% バンカー率17.0%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.07 パーオン率24.8% フェアウェイ率56.5% OB率34.5% バンカー率17.0%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.07 パーオン率24.8% フェアウェイ率56.5% OB率34.5% バンカー率17.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：160yd,Hdcp：5,PAR：4,Reg.：326yd,Hdcp：13,PAR：5,Reg.：467yd,Hdcp：9
9,グリーンへの入り口が狭い池越えのショート,グリーンへの入り口が狭い池越えのショート,グリーンへの入り口が狭い池越えのショート,１打目は得意なクラブで確実にＦＷキープ,１打目は得意なクラブで確実にＦＷキープ,１打目は得意なクラブで確実にＦＷキープ,距離が短いロングホール,距離が短いロングホール,距離が短いロングホール
10,難易度14位/18ホール中 平均スコア4.28 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率6.3% バンカー率13.0%,難易度14位/18ホール中 平均スコア4.28 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率6.3% バンカー率13.0%,難易度14位/18ホール中 平均スコア4.28 平均パット数2.02 パーオン率21.5% フェアウェイ率- OB率6.3% バンカー率13.0%,難易度10位/18ホール中 平均スコア5.41 平均パット数2.1 パーオン率31.0% フェアウェイ率60.3% OB率20.0% バンカー率7.0%,難易度10位/18ホール中 平均スコア5.41 平均パット数2.1 パーオン率31.0% フェアウェイ率60.3% OB率20.0% バンカー率7.0%,難易度10位/18ホール中 平均スコア5.41 平均パット数2.1 パーオン率31.0% フェアウェイ率60.3% OB率20.0% バンカー率7.0%,難易度6位/18ホール中 平均スコア6.45 平均パット数2.06 パーオン率27.3% フェアウェイ率56.5% OB率36.5% バンカー率31.5%,難易度6位/18ホール中 平均スコア6.45 平均パット数2.06 パーオン率27.3% フェアウェイ率56.5% OB率36.5% バンカー率31.5%,難易度6位/18ホール中 平均スコア6.45 平均パット数2.06 パーオン率27.3% フェアウェイ率56.5% OB率36.5% バンカー率31.5%
