,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：507yd,Hdcp：16,PAR：4,Reg.：375yd,Hdcp：4,PAR：4,Reg.：358yd,Hdcp：14
1,左ドッグの美しいロングホール,左ドッグの美しいロングホール,左ドッグの美しいロングホール,軽い左ドッグの打ち下ろしミドル　難易度非常に高い,軽い左ドッグの打ち下ろしミドル　難易度非常に高い,軽い左ドッグの打ち下ろしミドル　難易度非常に高い,池のある戦略性に富んだ名物ホール,池のある戦略性に富んだ名物ホール,池のある戦略性に富んだ名物ホール
2,難易度1位/18ホール中 平均スコア6.72 平均パット数2.07 パーオン率20.5% フェアウェイ率60.3% OB率52.3% バンカー率17.8%,難易度1位/18ホール中 平均スコア6.72 平均パット数2.07 パーオン率20.5% フェアウェイ率60.3% OB率52.3% バンカー率17.8%,難易度1位/18ホール中 平均スコア6.72 平均パット数2.07 パーオン率20.5% フェアウェイ率60.3% OB率52.3% バンカー率17.8%,難易度2位/18ホール中 平均スコア5.75 平均パット数2.13 パーオン率18.0% フェアウェイ率37.8% OB率55.8% バンカー率24.8%,難易度2位/18ホール中 平均スコア5.75 平均パット数2.13 パーオン率18.0% フェアウェイ率37.8% OB率55.8% バンカー率24.8%,難易度2位/18ホール中 平均スコア5.75 平均パット数2.13 パーオン率18.0% フェアウェイ率37.8% OB率55.8% バンカー率24.8%,難易度6位/18ホール中 平均スコア5.46 平均パット数2.08 パーオン率22.8% フェアウェイ率46.3% OB率22.3% バンカー率12.8%,難易度6位/18ホール中 平均スコア5.46 平均パット数2.08 パーオン率22.8% フェアウェイ率46.3% OB率22.3% バンカー率12.8%,難易度6位/18ホール中 平均スコア5.46 平均パット数2.08 パーオン率22.8% フェアウェイ率46.3% OB率22.3% バンカー率12.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：163yd,Hdcp：10,PAR：5,Reg.：494yd,Hdcp：18,PAR：4,Reg.：373yd,Hdcp：6
5,2段グリーンの左側に池のあるショートホール,2段グリーンの左側に池のあるショートホール,2段グリーンの左側に池のあるショートホール,ゆるやかな右ドッグのロング　グリーン奥OBは近い,ゆるやかな右ドッグのロング　グリーン奥OBは近い,ゆるやかな右ドッグのロング　グリーン奥OBは近い,まっすぐな打ち下ろしミドル　2打目は軽い打ち上げ,まっすぐな打ち下ろしミドル　2打目は軽い打ち上げ,まっすぐな打ち下ろしミドル　2打目は軽い打ち上げ
6,難易度16位/18ホール中 平均スコア4.03 平均パット数2.11 パーオン率38.3% フェアウェイ率- OB率11.3% バンカー率6.3%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.11 パーオン率38.3% フェアウェイ率- OB率11.3% バンカー率6.3%,難易度16位/18ホール中 平均スコア4.03 平均パット数2.11 パーオン率38.3% フェアウェイ率- OB率11.3% バンカー率6.3%,難易度8位/18ホール中 平均スコア6.44 平均パット数2.11 パーオン率29.8% フェアウェイ率54.8% OB率38.5% バンカー率32.5%,難易度8位/18ホール中 平均スコア6.44 平均パット数2.11 パーオン率29.8% フェアウェイ率54.8% OB率38.5% バンカー率32.5%,難易度8位/18ホール中 平均スコア6.44 平均パット数2.11 パーオン率29.8% フェアウェイ率54.8% OB率38.5% バンカー率32.5%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率19.8% フェアウェイ率48.3% OB率28.3% バンカー率24.3%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率19.8% フェアウェイ率48.3% OB率28.3% バンカー率24.3%,難易度11位/18ホール中 平均スコア5.36 平均パット数2.05 パーオン率19.8% フェアウェイ率48.3% OB率28.3% バンカー率24.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：394yd,Hdcp：8,PAR：3,Reg.：165yd,Hdcp：12,PAR：4,Reg.：410yd,Hdcp：2
9,第1打は左バンカー横狙い,第1打は左バンカー横狙い,第1打は左バンカー横狙い,少し打ち上げで距離のあるショートホール,少し打ち上げで距離のあるショートホール,少し打ち上げで距離のあるショートホール,ゆるやかな打ち下ろしのミドルホール,ゆるやかな打ち下ろしのミドルホール,ゆるやかな打ち下ろしのミドルホール
10,難易度5位/18ホール中 平均スコア5.52 平均パット数2.2 パーオン率20.8% フェアウェイ率47.8% OB率22.3% バンカー率44.0%,難易度5位/18ホール中 平均スコア5.52 平均パット数2.2 パーオン率20.8% フェアウェイ率47.8% OB率22.3% バンカー率44.0%,難易度5位/18ホール中 平均スコア5.52 平均パット数2.2 パーオン率20.8% フェアウェイ率47.8% OB率22.3% バンカー率44.0%,難易度14位/18ホール中 平均スコア4.05 平均パット数2.09 パーオン率29.5% フェアウェイ率- OB率13.5% バンカー率23.0%,難易度14位/18ホール中 平均スコア4.05 平均パット数2.09 パーオン率29.5% フェアウェイ率- OB率13.5% バンカー率23.0%,難易度14位/18ホール中 平均スコア4.05 平均パット数2.09 パーオン率29.5% フェアウェイ率- OB率13.5% バンカー率23.0%,難易度10位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.3% フェアウェイ率53.3% OB率25.0% バンカー率27.3%,難易度10位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.3% フェアウェイ率53.3% OB率25.0% バンカー率27.3%,難易度10位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率19.3% フェアウェイ率53.3% OB率25.0% バンカー率27.3%
