,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：381yd,Hdcp：3,PAR：4,Reg.：355yd,Hdcp：9,PAR：5,Reg.：495yd,Hdcp：13
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,両サイドにバンカーが点在するロングホール,両サイドにバンカーが点在するロングホール,両サイドにバンカーが点在するロングホール
2,難易度6位/18ホール中 平均スコア5.36 平均パット数2.02 パーオン率18.3% フェアウェイ率51.5% OB率9.8% バンカー率43.0%,難易度6位/18ホール中 平均スコア5.36 平均パット数2.02 パーオン率18.3% フェアウェイ率51.5% OB率9.8% バンカー率43.0%,難易度6位/18ホール中 平均スコア5.36 平均パット数2.02 パーオン率18.3% フェアウェイ率51.5% OB率9.8% バンカー率43.0%,難易度7位/18ホール中 平均スコア5.36 平均パット数1.98 パーオン率20.0% フェアウェイ率50.0% OB率3.5% バンカー率25.8%,難易度7位/18ホール中 平均スコア5.36 平均パット数1.98 パーオン率20.0% フェアウェイ率50.0% OB率3.5% バンカー率25.8%,難易度7位/18ホール中 平均スコア5.36 平均パット数1.98 パーオン率20.0% フェアウェイ率50.0% OB率3.5% バンカー率25.8%,難易度9位/18ホール中 平均スコア6.25 平均パット数2.04 パーオン率29.5% フェアウェイ率58.3% OB率12.8% バンカー率34.0%,難易度9位/18ホール中 平均スコア6.25 平均パット数2.04 パーオン率29.5% フェアウェイ率58.3% OB率12.8% バンカー率34.0%,難易度9位/18ホール中 平均スコア6.25 平均パット数2.04 パーオン率29.5% フェアウェイ率58.3% OB率12.8% バンカー率34.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：312yd,Hdcp：17,PAR：3,Reg.：145yd,Hdcp：11,PAR：5,Reg.：491yd,Hdcp：15
5,大きなバンカーがフェアウェイ中央を横切るミドル,大きなバンカーがフェアウェイ中央を横切るミドル,大きなバンカーがフェアウェイ中央を横切るミドル,グリーン右手前バンカーがこわいショートホール,グリーン右手前バンカーがこわいショートホール,グリーン右手前バンカーがこわいショートホール,右ドッグレッグしたドラマチックなロングホール,右ドッグレッグしたドラマチックなロングホール,右ドッグレッグしたドラマチックなロングホール
6,難易度17位/18ホール中 平均スコア4.95 平均パット数2 パーオン率36.3% フェアウェイ率41.0% OB率2.3% バンカー率52.8%,難易度17位/18ホール中 平均スコア4.95 平均パット数2 パーオン率36.3% フェアウェイ率41.0% OB率2.3% バンカー率52.8%,難易度17位/18ホール中 平均スコア4.95 平均パット数2 パーオン率36.3% フェアウェイ率41.0% OB率2.3% バンカー率52.8%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.97 パーオン率31.8% フェアウェイ率- OB率8.5% バンカー率36.5%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.97 パーオン率31.8% フェアウェイ率- OB率8.5% バンカー率36.5%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.97 パーオン率31.8% フェアウェイ率- OB率8.5% バンカー率36.5%,難易度11位/18ホール中 平均スコア6.21 平均パット数1.94 パーオン率26.5% フェアウェイ率58.0% OB率32.0% バンカー率10.3%,難易度11位/18ホール中 平均スコア6.21 平均パット数1.94 パーオン率26.5% フェアウェイ率58.0% OB率32.0% バンカー率10.3%,難易度11位/18ホール中 平均スコア6.21 平均パット数1.94 パーオン率26.5% フェアウェイ率58.0% OB率32.0% バンカー率10.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：367yd,Hdcp：1,PAR：3,Reg.：180yd,Hdcp：5,PAR：4,Reg.：370yd,Hdcp：7
9,第１打が池越えになるミドルホール,第１打が池越えになるミドルホール,第１打が池越えになるミドルホール,美しい２つの池にはさまれたショートホール,美しい２つの池にはさまれたショートホール,美しい２つの池にはさまれたショートホール,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール
10,難易度8位/18ホール中 平均スコア5.33 平均パット数2 パーオン率21.0% フェアウェイ率52.0% OB率6.0% バンカー率22.5%,難易度8位/18ホール中 平均スコア5.33 平均パット数2 パーオン率21.0% フェアウェイ率52.0% OB率6.0% バンカー率22.5%,難易度8位/18ホール中 平均スコア5.33 平均パット数2 パーオン率21.0% フェアウェイ率52.0% OB率6.0% バンカー率22.5%,難易度14位/18ホール中 平均スコア4.08 平均パット数1.99 パーオン率21.8% フェアウェイ率- OB率6.0% バンカー率25.0%,難易度14位/18ホール中 平均スコア4.08 平均パット数1.99 パーオン率21.8% フェアウェイ率- OB率6.0% バンカー率25.0%,難易度14位/18ホール中 平均スコア4.08 平均パット数1.99 パーオン率21.8% フェアウェイ率- OB率6.0% バンカー率25.0%,難易度13位/18ホール中 平均スコア5.18 平均パット数2 パーオン率25.0% フェアウェイ率61.5% OB率13.8% バンカー率25.3%,難易度13位/18ホール中 平均スコア5.18 平均パット数2 パーオン率25.0% フェアウェイ率61.5% OB率13.8% バンカー率25.3%,難易度13位/18ホール中 平均スコア5.18 平均パット数2 パーオン率25.0% フェアウェイ率61.5% OB率13.8% バンカー率25.3%
