,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：349yd,Hdcp：9,PAR：5,Reg.：506yd,Hdcp：3,PAR：3,Reg.：139yd,Hdcp：15
1,広いフェアウェイでリラックスしてスタートできる,広いフェアウェイでリラックスしてスタートできる,広いフェアウェイでリラックスしてスタートできる,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,ショートホール　グリーンの傾斜がかなりある,ショートホール　グリーンの傾斜がかなりある,ショートホール　グリーンの傾斜がかなりある
2,難易度7位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率22.0% フェアウェイ率47.0% OB率4.3% バンカー率18.3%,難易度7位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率22.0% フェアウェイ率47.0% OB率4.3% バンカー率18.3%,難易度7位/9ホール中 平均スコア5.35 平均パット数2.07 パーオン率22.0% フェアウェイ率47.0% OB率4.3% バンカー率18.3%,難易度4位/9ホール中 平均スコア6.4 平均パット数2.07 パーオン率27.0% フェアウェイ率50.8% OB率7.5% バンカー率20.3%,難易度4位/9ホール中 平均スコア6.4 平均パット数2.07 パーオン率27.0% フェアウェイ率50.8% OB率7.5% バンカー率20.3%,難易度4位/9ホール中 平均スコア6.4 平均パット数2.07 パーオン率27.0% フェアウェイ率50.8% OB率7.5% バンカー率20.3%,難易度8位/9ホール中 平均スコア3.94 平均パット数2 パーオン率30.5% フェアウェイ率- OB率4.0% バンカー率16.5%,難易度8位/9ホール中 平均スコア3.94 平均パット数2 パーオン率30.5% フェアウェイ率- OB率4.0% バンカー率16.5%,難易度8位/9ホール中 平均スコア3.94 平均パット数2 パーオン率30.5% フェアウェイ率- OB率4.0% バンカー率16.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：400yd,Hdcp：1,PAR：4,Reg.：390yd,Hdcp：7,PAR：3,Reg.：147yd,Hdcp：13
5,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,左右OB　正確なショットで,左右OB　正確なショットで,左右OB　正確なショットで,手前に池　距離把握を正確に,手前に池　距離把握を正確に,手前に池　距離把握を正確に
6,難易度2位/9ホール中 平均スコア5.74 平均パット数2.11 パーオン率9.3% フェアウェイ率57.0% OB率21.3% バンカー率2.0%,難易度2位/9ホール中 平均スコア5.74 平均パット数2.11 パーオン率9.3% フェアウェイ率57.0% OB率21.3% バンカー率2.0%,難易度2位/9ホール中 平均スコア5.74 平均パット数2.11 パーオン率9.3% フェアウェイ率57.0% OB率21.3% バンカー率2.0%,難易度5位/9ホール中 平均スコア5.44 平均パット数1.99 パーオン率14.3% フェアウェイ率56.3% OB率17.3% バンカー率10.5%,難易度5位/9ホール中 平均スコア5.44 平均パット数1.99 パーオン率14.3% フェアウェイ率56.3% OB率17.3% バンカー率10.5%,難易度5位/9ホール中 平均スコア5.44 平均パット数1.99 パーオン率14.3% フェアウェイ率56.3% OB率17.3% バンカー率10.5%,難易度9位/9ホール中 平均スコア3.96 平均パット数2.07 パーオン率37.0% フェアウェイ率- OB率9.7% バンカー率17.5%,難易度9位/9ホール中 平均スコア3.96 平均パット数2.07 パーオン率37.0% フェアウェイ率- OB率9.7% バンカー率17.5%,難易度9位/9ホール中 平均スコア3.96 平均パット数2.07 パーオン率37.0% フェアウェイ率- OB率9.7% バンカー率17.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：561yd,Hdcp：5,PAR：4,Reg.：375yd,Hdcp：11,PAR：4,Reg.：360yd,Hdcp：17
9,積極的にせめて好結果,積極的にせめて好結果,積極的にせめて好結果,フェアウェイに大きなコブ　ショットは慎重に,フェアウェイに大きなコブ　ショットは慎重に,フェアウェイに大きなコブ　ショットは慎重に,２打目は打ち上げとなるミドルホール,２打目は打ち上げとなるミドルホール,２打目は打ち上げとなるミドルホール
10,難易度1位/9ホール中 平均スコア6.81 平均パット数2.04 パーオン率11.8% フェアウェイ率52.0% OB率19.5% バンカー率15.5%,難易度1位/9ホール中 平均スコア6.81 平均パット数2.04 パーオン率11.8% フェアウェイ率52.0% OB率19.5% バンカー率15.5%,難易度1位/9ホール中 平均スコア6.81 平均パット数2.04 パーオン率11.8% フェアウェイ率52.0% OB率19.5% バンカー率15.5%,難易度3位/9ホール中 平均スコア5.48 平均パット数2.1 パーオン率16.5% フェアウェイ率56.5% OB率2.3% バンカー率6.0%,難易度3位/9ホール中 平均スコア5.48 平均パット数2.1 パーオン率16.5% フェアウェイ率56.5% OB率2.3% バンカー率6.0%,難易度3位/9ホール中 平均スコア5.48 平均パット数2.1 パーオン率16.5% フェアウェイ率56.5% OB率2.3% バンカー率6.0%,難易度6位/9ホール中 平均スコア5.36 平均パット数2.01 パーオン率17.0% フェアウェイ率49.0% OB率3.7% バンカー率13.5%,難易度6位/9ホール中 平均スコア5.36 平均パット数2.01 パーオン率17.0% フェアウェイ率49.0% OB率3.7% バンカー率13.5%,難易度6位/9ホール中 平均スコア5.36 平均パット数2.01 パーオン率17.0% フェアウェイ率49.0% OB率3.7% バンカー率13.5%
