,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：403yd,Hdcp：4,PAR：3,Reg.：199yd,Hdcp：16,PAR：4,Reg.：325yd,Hdcp：10
1,長いミドルホール,長いミドルホール,長いミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,短いミドルホール,短いミドルホール,短いミドルホール
2,難易度1位/18ホール中 平均スコア5.95 平均パット数2.05 パーオン率4.0% フェアウェイ率47.3% OB率39.0% バンカー率10.5%,難易度1位/18ホール中 平均スコア5.95 平均パット数2.05 パーオン率4.0% フェアウェイ率47.3% OB率39.0% バンカー率10.5%,難易度1位/18ホール中 平均スコア5.95 平均パット数2.05 パーオン率4.0% フェアウェイ率47.3% OB率39.0% バンカー率10.5%,難易度13位/18ホール中 平均スコア4.39 平均パット数2.06 パーオン率14.8% フェアウェイ率- OB率32.0% バンカー率1.0%,難易度13位/18ホール中 平均スコア4.39 平均パット数2.06 パーオン率14.8% フェアウェイ率- OB率32.0% バンカー率1.0%,難易度13位/18ホール中 平均スコア4.39 平均パット数2.06 パーオン率14.8% フェアウェイ率- OB率32.0% バンカー率1.0%,難易度9位/18ホール中 平均スコア5.55 平均パット数2.03 パーオン率15.3% フェアウェイ率40.3% OB率32.3% バンカー率7.8%,難易度9位/18ホール中 平均スコア5.55 平均パット数2.03 パーオン率15.3% フェアウェイ率40.3% OB率32.3% バンカー率7.8%,難易度9位/18ホール中 平均スコア5.55 平均パット数2.03 パーオン率15.3% フェアウェイ率40.3% OB率32.3% バンカー率7.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：466yd,Hdcp：8,PAR：4,Reg.：360yd,Hdcp：2,PAR：4,Reg.：352yd,Hdcp：14
5,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度2位/18ホール中 平均スコア6.69 平均パット数2.13 パーオン率21.3% フェアウェイ率44.0% OB率22.5% バンカー率15.8%,難易度2位/18ホール中 平均スコア6.69 平均パット数2.13 パーオン率21.3% フェアウェイ率44.0% OB率22.5% バンカー率15.8%,難易度2位/18ホール中 平均スコア6.69 平均パット数2.13 パーオン率21.3% フェアウェイ率44.0% OB率22.5% バンカー率15.8%,難易度8位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率11.5% フェアウェイ率45.0% OB率16.0% バンカー率4.3%,難易度8位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率11.5% フェアウェイ率45.0% OB率16.0% バンカー率4.3%,難易度8位/18ホール中 平均スコア5.56 平均パット数1.94 パーオン率11.5% フェアウェイ率45.0% OB率16.0% バンカー率4.3%,難易度11位/18ホール中 平均スコア5.49 平均パット数1.98 パーオン率16.8% フェアウェイ率46.5% OB率37.8% バンカー率8.3%,難易度11位/18ホール中 平均スコア5.49 平均パット数1.98 パーオン率16.8% フェアウェイ率46.5% OB率37.8% バンカー率8.3%,難易度11位/18ホール中 平均スコア5.49 平均パット数1.98 パーオン率16.8% フェアウェイ率46.5% OB率37.8% バンカー率8.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：302yd,Hdcp：12,PAR：3,Reg.：131yd,Hdcp：18,PAR：5,Reg.：529yd,Hdcp：6
9,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
10,難易度12位/18ホール中 平均スコア5.38 平均パット数2.01 パーオン率22.8% フェアウェイ率50.8% OB率23.5% バンカー率21.8%,難易度12位/18ホール中 平均スコア5.38 平均パット数2.01 パーオン率22.8% フェアウェイ率50.8% OB率23.5% バンカー率21.8%,難易度12位/18ホール中 平均スコア5.38 平均パット数2.01 パーオン率22.8% フェアウェイ率50.8% OB率23.5% バンカー率21.8%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.99 パーオン率35.3% フェアウェイ率- OB率18.7% バンカー率13.8%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.99 パーオン率35.3% フェアウェイ率- OB率18.7% バンカー率13.8%,難易度18位/18ホール中 平均スコア3.88 平均パット数1.99 パーオン率35.3% フェアウェイ率- OB率18.7% バンカー率13.8%,難易度3位/18ホール中 平均スコア6.52 平均パット数1.97 パーオン率18.5% フェアウェイ率50.3% OB率26.0% バンカー率4.0%,難易度3位/18ホール中 平均スコア6.52 平均パット数1.97 パーオン率18.5% フェアウェイ率50.3% OB率26.0% バンカー率4.0%,難易度3位/18ホール中 平均スコア6.52 平均パット数1.97 パーオン率18.5% フェアウェイ率50.3% OB率26.0% バンカー率4.0%
