,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：364yd,Hdcp：8,PAR：3,Reg.：155yd,Hdcp：18,PAR：4,Reg.：335yd,Hdcp：14
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度9位/18ホール中 平均スコア5.35 平均パット数2 パーオン率20.0% フェアウェイ率54.3% OB率25.0% バンカー率27.3%,難易度9位/18ホール中 平均スコア5.35 平均パット数2 パーオン率20.0% フェアウェイ率54.3% OB率25.0% バンカー率27.3%,難易度9位/18ホール中 平均スコア5.35 平均パット数2 パーオン率20.0% フェアウェイ率54.3% OB率25.0% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.01 平均パット数2.06 パーオン率30.8% フェアウェイ率- OB率32.0% バンカー率17.5%,難易度16位/18ホール中 平均スコア4.01 平均パット数2.06 パーオン率30.8% フェアウェイ率- OB率32.0% バンカー率17.5%,難易度16位/18ホール中 平均スコア4.01 平均パット数2.06 パーオン率30.8% フェアウェイ率- OB率32.0% バンカー率17.5%,難易度10位/18ホール中 平均スコア5.35 平均パット数2.08 パーオン率23.8% フェアウェイ率59.5% OB率24.5% バンカー率23.8%,難易度10位/18ホール中 平均スコア5.35 平均パット数2.08 パーオン率23.8% フェアウェイ率59.5% OB率24.5% バンカー率23.8%,難易度10位/18ホール中 平均スコア5.35 平均パット数2.08 パーオン率23.8% フェアウェイ率59.5% OB率24.5% バンカー率23.8%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：475yd,Hdcp：10,PAR：4,Reg.：344yd,Hdcp：12,PAR：4,Reg.：370yd,Hdcp：4
5,右ドッグレッグのロン　前方バンカーを狙って,右ドッグレッグのロン　前方バンカーを狙って,右ドッグレッグのロン　前方バンカーを狙って,武生の名物コース　ラビットコースとタイガーコース,武生の名物コース　ラビットコースとタイガーコース,武生の名物コース　ラビットコースとタイガーコース,左右OBになっており右バンカーがあるので注意,左右OBになっており右バンカーがあるので注意,左右OBになっており右バンカーがあるので注意
6,難易度8位/18ホール中 平均スコア6.33 平均パット数2.12 パーオン率34.3% フェアウェイ率58.0% OB率31.0% バンカー率28.8%,難易度8位/18ホール中 平均スコア6.33 平均パット数2.12 パーオン率34.3% フェアウェイ率58.0% OB率31.0% バンカー率28.8%,難易度8位/18ホール中 平均スコア6.33 平均パット数2.12 パーオン率34.3% フェアウェイ率58.0% OB率31.0% バンカー率28.8%,難易度12位/18ホール中 平均スコア5.35 平均パット数2.12 パーオン率23.5% フェアウェイ率54.8% OB率23.0% バンカー率21.0%,難易度12位/18ホール中 平均スコア5.35 平均パット数2.12 パーオン率23.5% フェアウェイ率54.8% OB率23.0% バンカー率21.0%,難易度12位/18ホール中 平均スコア5.35 平均パット数2.12 パーオン率23.5% フェアウェイ率54.8% OB率23.0% バンカー率21.0%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.97 パーオン率16.5% フェアウェイ率54.5% OB率36.8% バンカー率12.3%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.97 パーオン率16.5% フェアウェイ率54.5% OB率36.8% バンカー率12.3%,難易度6位/18ホール中 平均スコア5.45 平均パット数1.97 パーオン率16.5% フェアウェイ率54.5% OB率36.8% バンカー率12.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：150yd,Hdcp：16,PAR：5,Reg.：532yd,Hdcp：2,PAR：4,Reg.：413yd,Hdcp：6
9,大会でも多くのドラマが生まれるコース,大会でも多くのドラマが生まれるコース,大会でも多くのドラマが生まれるコース,武生で最も長い、右ドッグレッグのロングコース,武生で最も長い、右ドッグレッグのロングコース,武生で最も長い、右ドッグレッグのロングコース,左ドッグレッグのミドル　狙い目は前方のバンカー,左ドッグレッグのミドル　狙い目は前方のバンカー,左ドッグレッグのミドル　狙い目は前方のバンカー
10,難易度15位/18ホール中 平均スコア4.01 平均パット数2.08 パーオン率33.8% フェアウェイ率- OB率15.0% バンカー率12.3%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.08 パーオン率33.8% フェアウェイ率- OB率15.0% バンカー率12.3%,難易度15位/18ホール中 平均スコア4.01 平均パット数2.08 パーオン率33.8% フェアウェイ率- OB率15.0% バンカー率12.3%,難易度1位/18ホール中 平均スコア6.83 平均パット数2.22 パーオン率18.5% フェアウェイ率56.3% OB率16.8% バンカー率13.8%,難易度1位/18ホール中 平均スコア6.83 平均パット数2.22 パーオン率18.5% フェアウェイ率56.3% OB率16.8% バンカー率13.8%,難易度1位/18ホール中 平均スコア6.83 平均パット数2.22 パーオン率18.5% フェアウェイ率56.3% OB率16.8% バンカー率13.8%,難易度5位/18ホール中 平均スコア5.55 平均パット数2.07 パーオン率14.3% フェアウェイ率51.0% OB率17.0% バンカー率36.5%,難易度5位/18ホール中 平均スコア5.55 平均パット数2.07 パーオン率14.3% フェアウェイ率51.0% OB率17.0% バンカー率36.5%,難易度5位/18ホール中 平均スコア5.55 平均パット数2.07 パーオン率14.3% フェアウェイ率51.0% OB率17.0% バンカー率36.5%
