,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：3,Reg.：167yd,Hdcp：16,PAR：5,Reg.：570yd,Hdcp：2,PAR：4,Reg.：311yd,Hdcp：10
1,緩やかに打ち上げるショートホール,緩やかに打ち上げるショートホール,緩やかに打ち上げるショートホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,短いミドルホール,短いミドルホール,短いミドルホール
2,難易度12位/18ホール中 平均スコア4.24 平均パット数1.92 パーオン率12.5% フェアウェイ率- OB率15.3% バンカー率25.8%,難易度12位/18ホール中 平均スコア4.24 平均パット数1.92 パーオン率12.5% フェアウェイ率- OB率15.3% バンカー率25.8%,難易度12位/18ホール中 平均スコア4.24 平均パット数1.92 パーオン率12.5% フェアウェイ率- OB率15.3% バンカー率25.8%,難易度1位/18ホール中 平均スコア6.69 平均パット数2.06 パーオン率25.3% フェアウェイ率53.8% OB率40.8% バンカー率11.5%,難易度1位/18ホール中 平均スコア6.69 平均パット数2.06 パーオン率25.3% フェアウェイ率53.8% OB率40.8% バンカー率11.5%,難易度1位/18ホール中 平均スコア6.69 平均パット数2.06 パーオン率25.3% フェアウェイ率53.8% OB率40.8% バンカー率11.5%,難易度7位/18ホール中 平均スコア5.56 平均パット数2.17 パーオン率26.7% フェアウェイ率53.5% OB率33.3% バンカー率20.0%,難易度7位/18ホール中 平均スコア5.56 平均パット数2.17 パーオン率26.7% フェアウェイ率53.5% OB率33.3% バンカー率20.0%,難易度7位/18ホール中 平均スコア5.56 平均パット数2.17 パーオン率26.7% フェアウェイ率53.5% OB率33.3% バンカー率20.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：354yd,Hdcp：12,PAR：3,Reg.：143yd,Hdcp：18,PAR：4,Reg.：358yd,Hdcp：6
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,距離感の掴みづらい短めのショートホール,距離感の掴みづらい短めのショートホール,距離感の掴みづらい短めのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度14位/18ホール中 平均スコア5.14 平均パット数1.92 パーオン率29.0% フェアウェイ率44.5% OB率28.5% バンカー率11.5%,難易度14位/18ホール中 平均スコア5.14 平均パット数1.92 パーオン率29.0% フェアウェイ率44.5% OB率28.5% バンカー率11.5%,難易度14位/18ホール中 平均スコア5.14 平均パット数1.92 パーオン率29.0% フェアウェイ率44.5% OB率28.5% バンカー率11.5%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.94 パーオン率28.0% フェアウェイ率- OB率35.0% バンカー率14.0%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.94 パーオン率28.0% フェアウェイ率- OB率35.0% バンカー率14.0%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.94 パーオン率28.0% フェアウェイ率- OB率35.0% バンカー率14.0%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.01 パーオン率17.5% フェアウェイ率51.3% OB率36.3% バンカー率16.7%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.01 パーオン率17.5% フェアウェイ率51.3% OB率36.3% バンカー率16.7%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.01 パーオン率17.5% フェアウェイ率51.3% OB率36.3% バンカー率16.7%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：364yd,Hdcp：8,PAR：5,Reg.：505yd,Hdcp：14,PAR：4,Reg.：394yd,Hdcp：4
9,ティショットは正面に見える杉の木狙いで,ティショットは正面に見える杉の木狙いで,ティショットは正面に見える杉の木狙いで,２オンも可能な打ち下ろしのロングホール,２オンも可能な打ち下ろしのロングホール,２オンも可能な打ち下ろしのロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度9位/18ホール中 平均スコア5.4 平均パット数2.11 パーオン率13.3% フェアウェイ率46.5% OB率46.7% バンカー率16.0%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.11 パーオン率13.3% フェアウェイ率46.5% OB率46.7% バンカー率16.0%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.11 パーオン率13.3% フェアウェイ率46.5% OB率46.7% バンカー率16.0%,難易度13位/18ホール中 平均スコア6.23 平均パット数2 パーオン率28.8% フェアウェイ率50.8% OB率27.8% バンカー率7.5%,難易度13位/18ホール中 平均スコア6.23 平均パット数2 パーオン率28.8% フェアウェイ率50.8% OB率27.8% バンカー率7.5%,難易度13位/18ホール中 平均スコア6.23 平均パット数2 パーオン率28.8% フェアウェイ率50.8% OB率27.8% バンカー率7.5%,難易度4位/18ホール中 平均スコア5.4 平均パット数1.96 パーオン率18.7% フェアウェイ率67.0% OB率26.0% バンカー率14.5%,難易度4位/18ホール中 平均スコア5.4 平均パット数1.96 パーオン率18.7% フェアウェイ率67.0% OB率26.0% バンカー率14.5%,難易度4位/18ホール中 平均スコア5.4 平均パット数1.96 パーオン率18.7% フェアウェイ率67.0% OB率26.0% バンカー率14.5%
