,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：366yd,Hdcp：4,PAR：3,Reg.：203yd,Hdcp：10,PAR：4,Reg.：346yd,Hdcp：16
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,距離が長く難易度の高いショートホール,距離が長く難易度の高いショートホール,距離が長く難易度の高いショートホール,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール
2,難易度9位/18ホール中 平均スコア5.39 平均パット数1.82 パーオン率12.0% フェアウェイ率45.3% OB率39.8% バンカー率3.8%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.82 パーオン率12.0% フェアウェイ率45.3% OB率39.8% バンカー率3.8%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.82 パーオン率12.0% フェアウェイ率45.3% OB率39.8% バンカー率3.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.84 パーオン率15.3% フェアウェイ率- OB率5.5% バンカー率16.0%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.84 パーオン率15.3% フェアウェイ率- OB率5.5% バンカー率16.0%,難易度17位/18ホール中 平均スコア4.03 平均パット数1.84 パーオン率15.3% フェアウェイ率- OB率5.5% バンカー率16.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.94 パーオン率16.3% フェアウェイ率46.8% OB率37.5% バンカー率7.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.94 パーオン率16.3% フェアウェイ率46.8% OB率37.5% バンカー率7.0%,難易度8位/18ホール中 平均スコア5.43 平均パット数1.94 パーオン率16.3% フェアウェイ率46.8% OB率37.5% バンカー率7.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：163yd,Hdcp：14,PAR：5,Reg.：466yd,Hdcp：2,PAR：4,Reg.：417yd,Hdcp：8
5,少し打ち下ろしのショートホール,少し打ち下ろしのショートホール,少し打ち下ろしのショートホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール,真っ直ぐな打ち下ろしのミドルホール,真っ直ぐな打ち下ろしのミドルホール,真っ直ぐな打ち下ろしのミドルホール
6,難易度14位/18ホール中 平均スコア4.12 平均パット数1.89 パーオン率17.5% フェアウェイ率- OB率21.5% バンカー率26.8%,難易度14位/18ホール中 平均スコア4.12 平均パット数1.89 パーオン率17.5% フェアウェイ率- OB率21.5% バンカー率26.8%,難易度14位/18ホール中 平均スコア4.12 平均パット数1.89 パーオン率17.5% フェアウェイ率- OB率21.5% バンカー率26.8%,難易度11位/18ホール中 平均スコア6.29 平均パット数1.85 パーオン率22.0% フェアウェイ率46.0% OB率21.3% バンカー率24.5%,難易度11位/18ホール中 平均スコア6.29 平均パット数1.85 パーオン率22.0% フェアウェイ率46.0% OB率21.3% バンカー率24.5%,難易度11位/18ホール中 平均スコア6.29 平均パット数1.85 パーオン率22.0% フェアウェイ率46.0% OB率21.3% バンカー率24.5%,難易度10位/18ホール中 平均スコア5.38 平均パット数1.9 パーオン率16.5% フェアウェイ率46.0% OB率11.0% バンカー率25.5%,難易度10位/18ホール中 平均スコア5.38 平均パット数1.9 パーオン率16.5% フェアウェイ率46.0% OB率11.0% バンカー率25.5%,難易度10位/18ホール中 平均スコア5.38 平均パット数1.9 パーオン率16.5% フェアウェイ率46.0% OB率11.0% バンカー率25.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：419yd,Hdcp：6,PAR：4,Reg.：355yd,Hdcp：18,PAR：5,Reg.：477yd,Hdcp：12
9,打上げで距離もあるミドル　手前がＬ（左）グリーン,打上げで距離もあるミドル　手前がＬ（左）グリーン,打上げで距離もあるミドル　手前がＬ（左）グリーン,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール,少し打ち下ろしのロングホール
10,難易度3位/18ホール中 平均スコア5.49 平均パット数1.91 パーオン率10.8% フェアウェイ率50.0% OB率19.8% バンカー率15.3%,難易度3位/18ホール中 平均スコア5.49 平均パット数1.91 パーオン率10.8% フェアウェイ率50.0% OB率19.8% バンカー率15.3%,難易度3位/18ホール中 平均スコア5.49 平均パット数1.91 パーオン率10.8% フェアウェイ率50.0% OB率19.8% バンカー率15.3%,難易度12位/18ホール中 平均スコア5.31 平均パット数1.88 パーオン率17.3% フェアウェイ率45.5% OB率41.3% バンカー率13.0%,難易度12位/18ホール中 平均スコア5.31 平均パット数1.88 パーオン率17.3% フェアウェイ率45.5% OB率41.3% バンカー率13.0%,難易度12位/18ホール中 平均スコア5.31 平均パット数1.88 パーオン率17.3% フェアウェイ率45.5% OB率41.3% バンカー率13.0%,難易度2位/18ホール中 平均スコア6.53 平均パット数1.85 パーオン率17.0% フェアウェイ率44.8% OB率27.8% バンカー率12.5%,難易度2位/18ホール中 平均スコア6.53 平均パット数1.85 パーオン率17.0% フェアウェイ率44.8% OB率27.8% バンカー率12.5%,難易度2位/18ホール中 平均スコア6.53 平均パット数1.85 パーオン率17.0% フェアウェイ率44.8% OB率27.8% バンカー率12.5%
