,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：524yd,Hdcp：9,PAR：4,Reg.：394yd,Hdcp：3,PAR：3,Reg.：181yd,Hdcp：15
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度6位/18ホール中 平均スコア6.41 平均パット数1.96 パーオン率22.0% フェアウェイ率47.5% OB率38.5% バンカー率21.3%,難易度6位/18ホール中 平均スコア6.41 平均パット数1.96 パーオン率22.0% フェアウェイ率47.5% OB率38.5% バンカー率21.3%,難易度6位/18ホール中 平均スコア6.41 平均パット数1.96 パーオン率22.0% フェアウェイ率47.5% OB率38.5% バンカー率21.3%,難易度2位/18ホール中 平均スコア5.69 平均パット数1.99 パーオン率8.5% フェアウェイ率56.8% OB率48.7% バンカー率30.0%,難易度2位/18ホール中 平均スコア5.69 平均パット数1.99 パーオン率8.5% フェアウェイ率56.8% OB率48.7% バンカー率30.0%,難易度2位/18ホール中 平均スコア5.69 平均パット数1.99 パーオン率8.5% フェアウェイ率56.8% OB率48.7% バンカー率30.0%,難易度12位/18ホール中 平均スコア4.18 平均パット数1.95 パーオン率14.3% フェアウェイ率- OB率47.0% バンカー率27.3%,難易度12位/18ホール中 平均スコア4.18 平均パット数1.95 パーオン率14.3% フェアウェイ率- OB率47.0% バンカー率27.3%,難易度12位/18ホール中 平均スコア4.18 平均パット数1.95 パーオン率14.3% フェアウェイ率- OB率47.0% バンカー率27.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：405yd,Hdcp：1,PAR：4,Reg.：384yd,Hdcp：11,PAR：5,Reg.：528yd,Hdcp：7
5,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,Ｓ字のロングホール　奥がＬ（左）グリーン,Ｓ字のロングホール　奥がＬ（左）グリーン,Ｓ字のロングホール　奥がＬ（左）グリーン
6,難易度11位/18ホール中 平均スコア5.4 平均パット数1.75 パーオン率21.0% フェアウェイ率48.3% OB率56.3% バンカー率11.0%,難易度11位/18ホール中 平均スコア5.4 平均パット数1.75 パーオン率21.0% フェアウェイ率48.3% OB率56.3% バンカー率11.0%,難易度11位/18ホール中 平均スコア5.4 平均パット数1.75 パーオン率21.0% フェアウェイ率48.3% OB率56.3% バンカー率11.0%,難易度5位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率13.5% フェアウェイ率40.7% OB率47.7% バンカー率42.0%,難易度5位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率13.5% フェアウェイ率40.7% OB率47.7% バンカー率42.0%,難易度5位/18ホール中 平均スコア5.54 平均パット数1.99 パーオン率13.5% フェアウェイ率40.7% OB率47.7% バンカー率42.0%,難易度1位/18ホール中 平均スコア6.77 平均パット数2.03 パーオン率27.3% フェアウェイ率66.0% OB率50.3% バンカー率9.5%,難易度1位/18ホール中 平均スコア6.77 平均パット数2.03 パーオン率27.3% フェアウェイ率66.0% OB率50.3% バンカー率9.5%,難易度1位/18ホール中 平均スコア6.77 平均パット数2.03 パーオン率27.3% フェアウェイ率66.0% OB率50.3% バンカー率9.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：366yd,Hdcp：13,PAR：3,Reg.：186yd,Hdcp：17,PAR：4,Reg.：362yd,Hdcp：5
9,長いミドルホール,長いミドルホール,長いミドルホール,長いショートホール,長いショートホール,長いショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度15位/18ホール中 平均スコア5.12 平均パット数1.87 パーオン率26.0% フェアウェイ率46.0% OB率41.5% バンカー率14.0%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.87 パーオン率26.0% フェアウェイ率46.0% OB率41.5% バンカー率14.0%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.87 パーオン率26.0% フェアウェイ率46.0% OB率41.5% バンカー率14.0%,難易度16位/18ホール中 平均スコア4.16 平均パット数1.77 パーオン率17.0% フェアウェイ率- OB率19.5% バンカー率46.7%,難易度16位/18ホール中 平均スコア4.16 平均パット数1.77 パーオン率17.0% フェアウェイ率- OB率19.5% バンカー率46.7%,難易度16位/18ホール中 平均スコア4.16 平均パット数1.77 パーオン率17.0% フェアウェイ率- OB率19.5% バンカー率46.7%,難易度4位/18ホール中 平均スコア5.52 平均パット数2.13 パーオン率20.8% フェアウェイ率72.8% OB率34.5% バンカー率26.7%,難易度4位/18ホール中 平均スコア5.52 平均パット数2.13 パーオン率20.8% フェアウェイ率72.8% OB率34.5% バンカー率26.7%,難易度4位/18ホール中 平均スコア5.52 平均パット数2.13 パーオン率20.8% フェアウェイ率72.8% OB率34.5% バンカー率26.7%
