,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：300yd,Hdcp：14,PAR：4,Reg.：335yd,Hdcp：8,PAR：5,Reg.：475yd,Hdcp：4
1,ＦＷには残り１００Ｙ付近から先に平らな段がある,ＦＷには残り１００Ｙ付近から先に平らな段がある,ＦＷには残り１００Ｙ付近から先に平らな段がある,左側のラフには木とバンカー、その先はＯＢ,左側のラフには木とバンカー、その先はＯＢ,左側のラフには木とバンカー、その先はＯＢ,ティショットは打上げで左側にはＯＢ、右側には谷,ティショットは打上げで左側にはＯＢ、右側には谷,ティショットは打上げで左側にはＯＢ、右側には谷
2,難易度11位/18ホール中 平均スコア5.24 平均パット数2.1 パーオン率30.5% フェアウェイ率49.5% OB率18.3% バンカー率3.3%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.1 パーオン率30.5% フェアウェイ率49.5% OB率18.3% バンカー率3.3%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.1 パーオン率30.5% フェアウェイ率49.5% OB率18.3% バンカー率3.3%,難易度12位/18ホール中 平均スコア5.23 平均パット数2.05 パーオン率25.5% フェアウェイ率44.3% OB率19.0% バンカー率31.0%,難易度12位/18ホール中 平均スコア5.23 平均パット数2.05 パーオン率25.5% フェアウェイ率44.3% OB率19.0% バンカー率31.0%,難易度12位/18ホール中 平均スコア5.23 平均パット数2.05 パーオン率25.5% フェアウェイ率44.3% OB率19.0% バンカー率31.0%,難易度7位/18ホール中 平均スコア6.36 平均パット数2.06 パーオン率29.0% フェアウェイ率53.0% OB率30.0% バンカー率23.3%,難易度7位/18ホール中 平均スコア6.36 平均パット数2.06 パーオン率29.0% フェアウェイ率53.0% OB率30.0% バンカー率23.3%,難易度7位/18ホール中 平均スコア6.36 平均パット数2.06 パーオン率29.0% フェアウェイ率53.0% OB率30.0% バンカー率23.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：120yd,Hdcp：18,PAR：5,Reg.：495yd,Hdcp：2,PAR：4,Reg.：300yd,Hdcp：12
5,グリーンまでの高低差が大きく距離感がつかみにくい,グリーンまでの高低差が大きく距離感がつかみにくい,グリーンまでの高低差が大きく距離感がつかみにくい,逆Ｓ字のフラットなロングホール,逆Ｓ字のフラットなロングホール,逆Ｓ字のフラットなロングホール,距離は短いが少し打ち上げでＦＷが右に大きく傾斜,距離は短いが少し打ち上げでＦＷが右に大きく傾斜,距離は短いが少し打ち上げでＦＷが右に大きく傾斜
6,難易度18位/18ホール中 平均スコア3.89 平均パット数2.09 パーオン率43.5% フェアウェイ率- OB率6.0% バンカー率29.3%,難易度18位/18ホール中 平均スコア3.89 平均パット数2.09 パーオン率43.5% フェアウェイ率- OB率6.0% バンカー率29.3%,難易度18位/18ホール中 平均スコア3.89 平均パット数2.09 パーオン率43.5% フェアウェイ率- OB率6.0% バンカー率29.3%,難易度1位/18ホール中 平均スコア6.72 平均パット数2.11 パーオン率18.8% フェアウェイ率45.3% OB率21.8% バンカー率43.5%,難易度1位/18ホール中 平均スコア6.72 平均パット数2.11 パーオン率18.8% フェアウェイ率45.3% OB率21.8% バンカー率43.5%,難易度1位/18ホール中 平均スコア6.72 平均パット数2.11 パーオン率18.8% フェアウェイ率45.3% OB率21.8% バンカー率43.5%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.98 パーオン率28.8% フェアウェイ率44.3% OB率16.3% バンカー率13.8%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.98 パーオン率28.8% フェアウェイ率44.3% OB率16.3% バンカー率13.8%,難易度14位/18ホール中 平均スコア5.11 平均パット数1.98 パーオン率28.8% フェアウェイ率44.3% OB率16.3% バンカー率13.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：311yd,Hdcp：16,PAR：3,Reg.：152yd,Hdcp：10,PAR：4,Reg.：371yd,Hdcp：6
9,距離短く少し打下ろしＦＷの幅が狭く左へ大きく傾斜,距離短く少し打下ろしＦＷの幅が狭く左へ大きく傾斜,距離短く少し打下ろしＦＷの幅が狭く左へ大きく傾斜,少し打ち上げのショートホール,少し打ち上げのショートホール,少し打ち上げのショートホール,フラットで比較的距離は短いミドルホール,フラットで比較的距離は短いミドルホール,フラットで比較的距離は短いミドルホール
10,難易度10位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率25.3% フェアウェイ率59.3% OB率20.5% バンカー率27.5%,難易度10位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率25.3% フェアウェイ率59.3% OB率20.5% バンカー率27.5%,難易度10位/18ホール中 平均スコア5.27 平均パット数2.02 パーオン率25.3% フェアウェイ率59.3% OB率20.5% バンカー率27.5%,難易度16位/18ホール中 平均スコア3.99 平均パット数2.06 パーオン率28.8% フェアウェイ率- OB率14.3% バンカー率37.3%,難易度16位/18ホール中 平均スコア3.99 平均パット数2.06 パーオン率28.8% フェアウェイ率- OB率14.3% バンカー率37.3%,難易度16位/18ホール中 平均スコア3.99 平均パット数2.06 パーオン率28.8% フェアウェイ率- OB率14.3% バンカー率37.3%,難易度8位/18ホール中 平均スコア5.37 平均パット数2.05 パーオン率22.5% フェアウェイ率41.8% OB率2.5% バンカー率50.3%,難易度8位/18ホール中 平均スコア5.37 平均パット数2.05 パーオン率22.5% フェアウェイ率41.8% OB率2.5% バンカー率50.3%,難易度8位/18ホール中 平均スコア5.37 平均パット数2.05 パーオン率22.5% フェアウェイ率41.8% OB率2.5% バンカー率50.3%
