,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：515yd,Hdcp：9,PAR：4,Reg.：370yd,Hdcp：7,PAR：3,Reg.：142yd,Hdcp：15
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
2,難易度11位/18ホール中 平均スコア6.3 平均パット数1.9 パーオン率22.8% フェアウェイ率46.5% OB率5.3% バンカー率13.3%,難易度11位/18ホール中 平均スコア6.3 平均パット数1.9 パーオン率22.8% フェアウェイ率46.5% OB率5.3% バンカー率13.3%,難易度11位/18ホール中 平均スコア6.3 平均パット数1.9 パーオン率22.8% フェアウェイ率46.5% OB率5.3% バンカー率13.3%,難易度10位/18ホール中 平均スコア5.37 平均パット数1.91 パーオン率14.3% フェアウェイ率45.0% OB率6.8% バンカー率3.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数1.91 パーオン率14.3% フェアウェイ率45.0% OB率6.8% バンカー率3.5%,難易度10位/18ホール中 平均スコア5.37 平均パット数1.91 パーオン率14.3% フェアウェイ率45.0% OB率6.8% バンカー率3.5%,難易度18位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率19.0% フェアウェイ率- OB率3.7% バンカー率25.0%,難易度18位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率19.0% フェアウェイ率- OB率3.7% バンカー率25.0%,難易度18位/18ホール中 平均スコア4.1 平均パット数1.95 パーオン率19.0% フェアウェイ率- OB率3.7% バンカー率25.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：345yd,Hdcp：13,PAR：4,Reg.：341yd,Hdcp：1,PAR：5,Reg.：499yd,Hdcp：11
5,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,フェアウェイが広いので のびのびと中央を狙う,フェアウェイが広いので のびのびと中央を狙う,フェアウェイが広いので のびのびと中央を狙う
6,難易度12位/18ホール中 平均スコア5.3 平均パット数1.91 パーオン率16.0% フェアウェイ率50.8% OB率1.7% バンカー率10.8%,難易度12位/18ホール中 平均スコア5.3 平均パット数1.91 パーオン率16.0% フェアウェイ率50.8% OB率1.7% バンカー率10.8%,難易度12位/18ホール中 平均スコア5.3 平均パット数1.91 パーオン率16.0% フェアウェイ率50.8% OB率1.7% バンカー率10.8%,難易度6位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率13.3% フェアウェイ率46.3% OB率1.7% バンカー率21.0%,難易度6位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率13.3% フェアウェイ率46.3% OB率1.7% バンカー率21.0%,難易度6位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率13.3% フェアウェイ率46.3% OB率1.7% バンカー率21.0%,難易度5位/18ホール中 平均スコア6.4 平均パット数1.97 パーオン率20.5% フェアウェイ率43.0% OB率1.7% バンカー率15.0%,難易度5位/18ホール中 平均スコア6.4 平均パット数1.97 パーオン率20.5% フェアウェイ率43.0% OB率1.7% バンカー率15.0%,難易度5位/18ホール中 平均スコア6.4 平均パット数1.97 パーオン率20.5% フェアウェイ率43.0% OB率1.7% バンカー率15.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：149yd,Hdcp：17,PAR：4,Reg.：379yd,Hdcp：5,PAR：4,Reg.：390yd,Hdcp：3
9,高低差10ヤードの打ち下ろしホール　中央手前狙い,高低差10ヤードの打ち下ろしホール　中央手前狙い,高低差10ヤードの打ち下ろしホール　中央手前狙い,ティ前の池は気にせず、まっすぐ大空に向かって,ティ前の池は気にせず、まっすぐ大空に向かって,ティ前の池は気にせず、まっすぐ大空に向かって,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度15位/18ホール中 平均スコア4.14 平均パット数1.94 パーオン率16.8% フェアウェイ率- OB率2.0% バンカー率35.8%,難易度15位/18ホール中 平均スコア4.14 平均パット数1.94 パーオン率16.8% フェアウェイ率- OB率2.0% バンカー率35.8%,難易度15位/18ホール中 平均スコア4.14 平均パット数1.94 パーオン率16.8% フェアウェイ率- OB率2.0% バンカー率35.8%,難易度8位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率14.0% フェアウェイ率50.0% OB率2.0% バンカー率9.0%,難易度8位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率14.0% フェアウェイ率50.0% OB率2.0% バンカー率9.0%,難易度8位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率14.0% フェアウェイ率50.0% OB率2.0% バンカー率9.0%,難易度3位/18ホール中 平均スコア5.51 平均パット数1.91 パーオン率10.3% フェアウェイ率48.3% OB率1.7% バンカー率7.5%,難易度3位/18ホール中 平均スコア5.51 平均パット数1.91 パーオン率10.3% フェアウェイ率48.3% OB率1.7% バンカー率7.5%,難易度3位/18ホール中 平均スコア5.51 平均パット数1.91 パーオン率10.3% フェアウェイ率48.3% OB率1.7% バンカー率7.5%
