,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：351yd,Hdcp：11,PAR：3,Reg.：180yd,Hdcp：13,PAR：5,Reg.：479yd,Hdcp：5
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
2,難易度13位/18ホール中 平均スコア5.09 平均パット数2.03 パーオン率29.0% フェアウェイ率52.3% OB率4.3% バンカー率12.3%,難易度13位/18ホール中 平均スコア5.09 平均パット数2.03 パーオン率29.0% フェアウェイ率52.3% OB率4.3% バンカー率12.3%,難易度13位/18ホール中 平均スコア5.09 平均パット数2.03 パーオン率29.0% フェアウェイ率52.3% OB率4.3% バンカー率12.3%,難易度14位/18ホール中 平均スコア4.04 平均パット数1.96 パーオン率20.8% フェアウェイ率- OB率17.5% バンカー率28.0%,難易度14位/18ホール中 平均スコア4.04 平均パット数1.96 パーオン率20.8% フェアウェイ率- OB率17.5% バンカー率28.0%,難易度14位/18ホール中 平均スコア4.04 平均パット数1.96 パーオン率20.8% フェアウェイ率- OB率17.5% バンカー率28.0%,難易度11位/18ホール中 平均スコア6.05 平均パット数2.01 パーオン率37.3% フェアウェイ率53.5% OB率9.3% バンカー率34.0%,難易度11位/18ホール中 平均スコア6.05 平均パット数2.01 パーオン率37.3% フェアウェイ率53.5% OB率9.3% バンカー率34.0%,難易度11位/18ホール中 平均スコア6.05 平均パット数2.01 パーオン率37.3% フェアウェイ率53.5% OB率9.3% バンカー率34.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：397yd,Hdcp：1,PAR：4,Reg.：413yd,Hdcp：3,PAR：4,Reg.：370yd,Hdcp：7
5,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度2位/18ホール中 平均スコア5.4 平均パット数2 パーオン率14.5% フェアウェイ率52.5% OB率4.3% バンカー率34.5%,難易度2位/18ホール中 平均スコア5.4 平均パット数2 パーオン率14.5% フェアウェイ率52.5% OB率4.3% バンカー率34.5%,難易度2位/18ホール中 平均スコア5.4 平均パット数2 パーオン率14.5% フェアウェイ率52.5% OB率4.3% バンカー率34.5%,難易度4位/18ホール中 平均スコア5.34 平均パット数1.97 パーオン率16.8% フェアウェイ率43.5% OB率17.8% バンカー率36.5%,難易度4位/18ホール中 平均スコア5.34 平均パット数1.97 パーオン率16.8% フェアウェイ率43.5% OB率17.8% バンカー率36.5%,難易度4位/18ホール中 平均スコア5.34 平均パット数1.97 パーオン率16.8% フェアウェイ率43.5% OB率17.8% バンカー率36.5%,難易度7位/18ホール中 平均スコア5.21 平均パット数1.99 パーオン率23.8% フェアウェイ率50.5% OB率18.8% バンカー率24.0%,難易度7位/18ホール中 平均スコア5.21 平均パット数1.99 パーオン率23.8% フェアウェイ率50.5% OB率18.8% バンカー率24.0%,難易度7位/18ホール中 平均スコア5.21 平均パット数1.99 パーオン率23.8% フェアウェイ率50.5% OB率18.8% バンカー率24.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：478yd,Hdcp：9,PAR：3,Reg.：182yd,Hdcp：15,PAR：4,Reg.：285yd,Hdcp：17
9,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール,短いミドルホール,短いミドルホール,短いミドルホール
10,難易度8位/18ホール中 平均スコア6.16 平均パット数2 パーオン率27.8% フェアウェイ率56.3% OB率10.3% バンカー率32.5%,難易度8位/18ホール中 平均スコア6.16 平均パット数2 パーオン率27.8% フェアウェイ率56.3% OB率10.3% バンカー率32.5%,難易度8位/18ホール中 平均スコア6.16 平均パット数2 パーオン率27.8% フェアウェイ率56.3% OB率10.3% バンカー率32.5%,難易度16位/18ホール中 平均スコア4 平均パット数1.94 パーオン率21.3% フェアウェイ率- OB率8.3% バンカー率43.8%,難易度16位/18ホール中 平均スコア4 平均パット数1.94 パーオン率21.3% フェアウェイ率- OB率8.3% バンカー率43.8%,難易度16位/18ホール中 平均スコア4 平均パット数1.94 パーオン率21.3% フェアウェイ率- OB率8.3% バンカー率43.8%,難易度17位/18ホール中 平均スコア4.88 平均パット数1.99 パーオン率40.0% フェアウェイ率54.0% OB率4.3% バンカー率46.0%,難易度17位/18ホール中 平均スコア4.88 平均パット数1.99 パーオン率40.0% フェアウェイ率54.0% OB率4.3% バンカー率46.0%,難易度17位/18ホール中 平均スコア4.88 平均パット数1.99 パーオン率40.0% フェアウェイ率54.0% OB率4.3% バンカー率46.0%
