,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：364yd,Hdcp：4,PAR：4,Reg.：328yd,Hdcp：12,PAR：3,Reg.：116yd,Hdcp：18
1,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
2,難易度4位/18ホール中 平均スコア5.55 平均パット数2.09 パーオン率16.8% フェアウェイ率43.3% OB率26.8% バンカー率14.5%,難易度4位/18ホール中 平均スコア5.55 平均パット数2.09 パーオン率16.8% フェアウェイ率43.3% OB率26.8% バンカー率14.5%,難易度4位/18ホール中 平均スコア5.55 平均パット数2.09 パーオン率16.8% フェアウェイ率43.3% OB率26.8% バンカー率14.5%,難易度10位/18ホール中 平均スコア5.42 平均パット数2.1 パーオン率27.5% フェアウェイ率49.5% OB率28.3% バンカー率25.8%,難易度10位/18ホール中 平均スコア5.42 平均パット数2.1 パーオン率27.5% フェアウェイ率49.5% OB率28.3% バンカー率25.8%,難易度10位/18ホール中 平均スコア5.42 平均パット数2.1 パーオン率27.5% フェアウェイ率49.5% OB率28.3% バンカー率25.8%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.05 パーオン率42.8% フェアウェイ率- OB率6.3% バンカー率28.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.05 パーオン率42.8% フェアウェイ率- OB率6.3% バンカー率28.0%,難易度18位/18ホール中 平均スコア3.91 平均パット数2.05 パーオン率42.8% フェアウェイ率- OB率6.3% バンカー率28.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：361yd,Hdcp：8,PAR：5,Reg.：437yd,Hdcp：16,PAR：4,Reg.：372yd,Hdcp：2
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度5位/18ホール中 平均スコア5.51 平均パット数2.06 パーオン率13.8% フェアウェイ率48.0% OB率3.8% バンカー率47.3%,難易度5位/18ホール中 平均スコア5.51 平均パット数2.06 パーオン率13.8% フェアウェイ率48.0% OB率3.8% バンカー率47.3%,難易度5位/18ホール中 平均スコア5.51 平均パット数2.06 パーオン率13.8% フェアウェイ率48.0% OB率3.8% バンカー率47.3%,難易度13位/18ホール中 平均スコア6.11 平均パット数2.05 パーオン率35.8% フェアウェイ率50.5% OB率6.8% バンカー率26.3%,難易度13位/18ホール中 平均スコア6.11 平均パット数2.05 パーオン率35.8% フェアウェイ率50.5% OB率6.8% バンカー率26.3%,難易度13位/18ホール中 平均スコア6.11 平均パット数2.05 パーオン率35.8% フェアウェイ率50.5% OB率6.8% バンカー率26.3%,難易度9位/18ホール中 平均スコア5.48 平均パット数2.04 パーオン率12.5% フェアウェイ率58.8% OB率10.5% バンカー率18.8%,難易度9位/18ホール中 平均スコア5.48 平均パット数2.04 パーオン率12.5% フェアウェイ率58.8% OB率10.5% バンカー率18.8%,難易度9位/18ホール中 平均スコア5.48 平均パット数2.04 パーオン率12.5% フェアウェイ率58.8% OB率10.5% バンカー率18.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：381yd,Hdcp：10,PAR：3,Reg.：153yd,Hdcp：14,PAR：5,Reg.：509yd,Hdcp：6
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,ショートホール,ショートホール,ショートホール,池越えのロングホール,池越えのロングホール,池越えのロングホール
10,難易度11位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率21.3% フェアウェイ率53.3% OB率2.8% バンカー率40.5%,難易度11位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率21.3% フェアウェイ率53.3% OB率2.8% バンカー率40.5%,難易度11位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率21.3% フェアウェイ率53.3% OB率2.8% バンカー率40.5%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.05 パーオン率30.8% フェアウェイ率- OB率5.0% バンカー率17.3%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.05 パーオン率30.8% フェアウェイ率- OB率5.0% バンカー率17.3%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.05 パーオン率30.8% フェアウェイ率- OB率5.0% バンカー率17.3%,難易度3位/18ホール中 平均スコア6.64 平均パット数2.08 パーオン率18.3% フェアウェイ率53.3% OB率6.3% バンカー率12.8%,難易度3位/18ホール中 平均スコア6.64 平均パット数2.08 パーオン率18.3% フェアウェイ率53.3% OB率6.3% バンカー率12.8%,難易度3位/18ホール中 平均スコア6.64 平均パット数2.08 パーオン率18.3% フェアウェイ率53.3% OB率6.3% バンカー率12.8%
