,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：488yd,Hdcp：12,PAR：4,Reg.：380yd,Hdcp：4,PAR：3,Reg.：157yd,Hdcp：18
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度6位/18ホール中 平均スコア6.44 平均パット数2.19 パーオン率27.5% フェアウェイ率48.0% OB率15.8% バンカー率28.0%,難易度6位/18ホール中 平均スコア6.44 平均パット数2.19 パーオン率27.5% フェアウェイ率48.0% OB率15.8% バンカー率28.0%,難易度6位/18ホール中 平均スコア6.44 平均パット数2.19 パーオン率27.5% フェアウェイ率48.0% OB率15.8% バンカー率28.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数2 パーオン率17.8% フェアウェイ率58.8% OB率22.5% バンカー率2.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数2 パーオン率17.8% フェアウェイ率58.8% OB率22.5% バンカー率2.0%,難易度3位/18ホール中 平均スコア5.53 平均パット数2 パーオン率17.8% フェアウェイ率58.8% OB率22.5% バンカー率2.0%,難易度18位/18ホール中 平均スコア3.9 平均パット数2.06 パーオン率35.5% フェアウェイ率- OB率4.8% バンカー率32.5%,難易度18位/18ホール中 平均スコア3.9 平均パット数2.06 パーオン率35.5% フェアウェイ率- OB率4.8% バンカー率32.5%,難易度18位/18ホール中 平均スコア3.9 平均パット数2.06 パーオン率35.5% フェアウェイ率- OB率4.8% バンカー率32.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：394yd,Hdcp：2,PAR：3,Reg.：186yd,Hdcp：16,PAR：4,Reg.：403yd,Hdcp：6
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度2位/18ホール中 平均スコア5.55 平均パット数2.02 パーオン率8.8% フェアウェイ率41.8% OB率12.0% バンカー率27.5%,難易度2位/18ホール中 平均スコア5.55 平均パット数2.02 パーオン率8.8% フェアウェイ率41.8% OB率12.0% バンカー率27.5%,難易度2位/18ホール中 平均スコア5.55 平均パット数2.02 パーオン率8.8% フェアウェイ率41.8% OB率12.0% バンカー率27.5%,難易度16位/18ホール中 平均スコア4.06 平均パット数1.98 パーオン率23.8% フェアウェイ率- OB率12.8% バンカー率21.3%,難易度16位/18ホール中 平均スコア4.06 平均パット数1.98 パーオン率23.8% フェアウェイ率- OB率12.8% バンカー率21.3%,難易度16位/18ホール中 平均スコア4.06 平均パット数1.98 パーオン率23.8% フェアウェイ率- OB率12.8% バンカー率21.3%,難易度9位/18ホール中 平均スコア5.46 平均パット数2.05 パーオン率20.0% フェアウェイ率62.8% OB率25.0% バンカー率35.3%,難易度9位/18ホール中 平均スコア5.46 平均パット数2.05 パーオン率20.0% フェアウェイ率62.8% OB率25.0% バンカー率35.3%,難易度9位/18ホール中 平均スコア5.46 平均パット数2.05 パーオン率20.0% フェアウェイ率62.8% OB率25.0% バンカー率35.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：298yd,Hdcp：14,PAR：4,Reg.：366yd,Hdcp：8,PAR：5,Reg.：491yd,Hdcp：10
9,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
10,難易度14位/18ホール中 平均スコア5.13 平均パット数2.07 パーオン率36.0% フェアウェイ率55.3% OB率20.8% バンカー率3.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.07 パーオン率36.0% フェアウェイ率55.3% OB率20.8% バンカー率3.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.07 パーオン率36.0% フェアウェイ率55.3% OB率20.8% バンカー率3.0%,難易度10位/18ホール中 平均スコア5.43 平均パット数2.06 パーオン率18.0% フェアウェイ率44.5% OB率22.5% バンカー率32.5%,難易度10位/18ホール中 平均スコア5.43 平均パット数2.06 パーオン率18.0% フェアウェイ率44.5% OB率22.5% バンカー率32.5%,難易度10位/18ホール中 平均スコア5.43 平均パット数2.06 パーオン率18.0% フェアウェイ率44.5% OB率22.5% バンカー率32.5%,難易度8位/18ホール中 平均スコア6.39 平均パット数2.07 パーオン率31.5% フェアウェイ率50.8% OB率25.0% バンカー率24.3%,難易度8位/18ホール中 平均スコア6.39 平均パット数2.07 パーオン率31.5% フェアウェイ率50.8% OB率25.0% バンカー率24.3%,難易度8位/18ホール中 平均スコア6.39 平均パット数2.07 パーオン率31.5% フェアウェイ率50.8% OB率25.0% バンカー率24.3%
