,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：548yd,Hdcp：9,PAR：4,Reg.：396yd,Hdcp：3,PAR：3,Reg.：143yd,Hdcp：15
1,三打目で右ドッグレッグするロングホール,三打目で右ドッグレッグするロングホール,三打目で右ドッグレッグするロングホール,フラットで距離があるミドルホール,フラットで距離があるミドルホール,フラットで距離があるミドルホール,打ち下ろし、池越えのショートホール,打ち下ろし、池越えのショートホール,打ち下ろし、池越えのショートホール
2,難易度1位/18ホール中 平均スコア6.73 平均パット数2.06 パーオン率21.7% フェアウェイ率52.3% OB率24.5% バンカー率35.3%,難易度1位/18ホール中 平均スコア6.73 平均パット数2.06 パーオン率21.7% フェアウェイ率52.3% OB率24.5% バンカー率35.3%,難易度1位/18ホール中 平均スコア6.73 平均パット数2.06 パーオン率21.7% フェアウェイ率52.3% OB率24.5% バンカー率35.3%,難易度6位/18ホール中 平均スコア5.35 平均パット数1.89 パーオン率15.3% フェアウェイ率59.0% OB率34.0% バンカー率17.0%,難易度6位/18ホール中 平均スコア5.35 平均パット数1.89 パーオン率15.3% フェアウェイ率59.0% OB率34.0% バンカー率17.0%,難易度6位/18ホール中 平均スコア5.35 平均パット数1.89 パーオン率15.3% フェアウェイ率59.0% OB率34.0% バンカー率17.0%,難易度18位/18ホール中 平均スコア3.8 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率27.0% バンカー率15.0%,難易度18位/18ホール中 平均スコア3.8 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率27.0% バンカー率15.0%,難易度18位/18ホール中 平均スコア3.8 平均パット数2.02 パーオン率39.3% フェアウェイ率- OB率27.0% バンカー率15.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：396yd,Hdcp：7,PAR：4,Reg.：415yd,Hdcp：1,PAR：4,Reg.：373yd,Hdcp：13
5,一打目の落下地点は両サイドの変形バンカーで狭い,一打目の落下地点は両サイドの変形バンカーで狭い,一打目の落下地点は両サイドの変形バンカーで狭い,長いミドル　２打目はグリーン左手前に池がせり出す,長いミドル　２打目はグリーン左手前に池がせり出す,長いミドル　２打目はグリーン左手前に池がせり出す,フェアウェイから３つの池が眺められる美しいホール,フェアウェイから３つの池が眺められる美しいホール,フェアウェイから３つの池が眺められる美しいホール
6,難易度8位/18ホール中 平均スコア5.5 平均パット数2.04 パーオン率21.7% フェアウェイ率56.8% OB率- バンカー率43.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.04 パーオン率21.7% フェアウェイ率56.8% OB率- バンカー率43.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.04 パーオン率21.7% フェアウェイ率56.8% OB率- バンカー率43.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.03 パーオン率7.0% フェアウェイ率48.5% OB率10.5% バンカー率29.0%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.03 パーオン率7.0% フェアウェイ率48.5% OB率10.5% バンカー率29.0%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.03 パーオン率7.0% フェアウェイ率48.5% OB率10.5% バンカー率29.0%,難易度7位/18ホール中 平均スコア5.33 平均パット数1.95 パーオン率19.0% フェアウェイ率50.0% OB率17.0% バンカー率33.7%,難易度7位/18ホール中 平均スコア5.33 平均パット数1.95 パーオン率19.0% フェアウェイ率50.0% OB率17.0% バンカー率33.7%,難易度7位/18ホール中 平均スコア5.33 平均パット数1.95 パーオン率19.0% フェアウェイ率50.0% OB率17.0% バンカー率33.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：502yd,Hdcp：17,PAR：3,Reg.：202yd,Hdcp：11,PAR：4,Reg.：383yd,Hdcp：5
9,グリーン手前左のコブとグラスバンカーに注意,グリーン手前左のコブとグラスバンカーに注意,グリーン手前左のコブとグラスバンカーに注意,距離のある打ち下しのショートホール,距離のある打ち下しのショートホール,距離のある打ち下しのショートホール,グリーン手前に池が待受ける　セカンドが勝負どころ,グリーン手前に池が待受ける　セカンドが勝負どころ,グリーン手前に池が待受ける　セカンドが勝負どころ
10,難易度9位/18ホール中 平均スコア6.46 平均パット数1.92 パーオン率29.0% フェアウェイ率29.0% OB率24.0% バンカー率16.0%,難易度9位/18ホール中 平均スコア6.46 平均パット数1.92 パーオン率29.0% フェアウェイ率29.0% OB率24.0% バンカー率16.0%,難易度9位/18ホール中 平均スコア6.46 平均パット数1.92 パーオン率29.0% フェアウェイ率29.0% OB率24.0% バンカー率16.0%,難易度13位/18ホール中 平均スコア4.28 平均パット数1.94 パーオン率15.8% フェアウェイ率- OB率12.0% バンカー率33.3%,難易度13位/18ホール中 平均スコア4.28 平均パット数1.94 パーオン率15.8% フェアウェイ率- OB率12.0% バンカー率33.3%,難易度13位/18ホール中 平均スコア4.28 平均パット数1.94 パーオン率15.8% フェアウェイ率- OB率12.0% バンカー率33.3%,難易度12位/18ホール中 平均スコア5.4 平均パット数1.92 パーオン率24.3% フェアウェイ率55.0% OB率4.0% バンカー率11.5%,難易度12位/18ホール中 平均スコア5.4 平均パット数1.92 パーオン率24.3% フェアウェイ率55.0% OB率4.0% バンカー率11.5%,難易度12位/18ホール中 平均スコア5.4 平均パット数1.92 パーオン率24.3% フェアウェイ率55.0% OB率4.0% バンカー率11.5%
